Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 5.380684 5.380684 22.001416
3 CONTROL 9.40781164 9.40781164 24.29858836
4 ONLINE 22.9701096 26.2257596 33.3746404
5 OFFLINE 14.528808 14.528808 23.625092
6 NUCLEAR 10.3343408 10.3343408 22.5250592
7 HBM 18.68087948 18.69387748 43.91642252
8 ADAPT-CONTROL 13.318166 14.824416 49.557284
9 CALOREE-NP 8.7043556 9.3386206 22.4548794
10 ONLINE-ADAPT 9.4817656 12.4164356 16.5047644
11 NUCLEAR-ADAPT 12.13688632 12.78819932 22.87160068
12 HBM-ADAPT 7.3688132 8.5199232 16.5274768
