Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 0.0 0.0 0.0
3 CONTROL 24.1263156 25.1789456 74.8210544
4 ONLINE 14.86316 15.91579 84.08421
5 OFFLINE 20.905264 21.957894 78.042106
6 NUCLEAR 4.294736 5.347366 41.494734
7 HBM 20.96841784 20.96841784 79.03158216
8 ADAPT-CONTROL 15.9368412 17.5157912 82.4842088
9 CALOREE-NP 5.2210524 6.8000024 15.8315976
10 ONLINE-ADAPT 7.7894772 9.8947372 83.2631628
11 NUCLEAR-ADAPT 16.9263196 19.0315796 80.9684204
12 HBM-ADAPT 2.1263148 4.7578948 3.1368452
