Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 2.43307684 2.43307684 5.01884316
3 CONTROL 9.19380768 9.19380768 23.22029232
4 ONLINE 22.660108 26.001558 33.643242
5 OFFLINE 14.3572108 14.3572108 23.5548892
6 NUCLEAR 10.0894284 10.0894284 21.4792716
7 HBM 14.0688504 14.0688504 50.3312496
8 ADAPT-CONTROL 14.1714192 14.1714192 50.2286808
9 CALOREE-NP 5.35684 5.35684 22.23716
10 ONLINE-ADAPT 10.9480584 13.6369684 41.7955316
11 NUCLEAR-ADAPT 10.05398824 10.89119924 22.33250076
12 HBM-ADAPT 7.47702248 7.85242148 16.54137852
