Number Benchmark min Avg max
1 OPTIMAL 1.30256296 1.55897296 1.51794704
2 RACE 1.55897284 1.81538284 2.03076716
3 CONTROL 21.343585 21.343585 78.656415
4 ONLINE 0.0 100.0 0.0
5 OFFLINE 20.30769228 20.30769228 79.69230772
6 NUCLEAR 2.35897316 2.35897316 35.84612684
7 HBM 8.36922744 8.88204844 91.11795156
8 ADAPT-CONTROL 7.91794592 8.68717692 91.31282308
9 CALOREE-NP 0.0 100.0 0.0
10 ONLINE-ADAPT 15.29230384 16.06153484 83.93846516
11 NUCLEAR-ADAPT 16.14359024 16.65641124 82.31798876
12 HBM-ADAPT 2.31794584 2.83076684 2.55385316
