Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0 3.90653 0 0 2.32999 2.61818 14.9828 3.16189 4.23477 1.38514
bfs 0 0 0 7.35209 0 0 0.200417 0.201821 14.0984 0.912759 2.30146 1.22514
filebound 0 0 4.59608 0 0 0 0.922219 0.944831 4.86431 9.41049 0.274853 2.12826
Kmeansnf 0 0 11.0688 0 0 0 2.16036 2.16143 12.7467 14.6069 2.31149 2.9052
svmrfe 0 0 3.74221 0 1.03218 0 0.08153 0.0607986 7.82907 6.9442 0.729783 1.02022
apr 0 0 0.323419 3.46529 0 0 4.42383 4.46666 3.94305 3.35277 0.695321 1.46236
btree 0 0 0 0.37868 0 0 1.60586 1.60879 15.0074 1.63854 2.51576 1.97491
lud 0 0.858408 2.30335 2.56551 3.72576 4.08281 6.4331 7.3157 0.148237 7.32645 2.61265 3.32178
nn 0 0 7.6627 0 0.566855 0 1.42767 1.43792 9.76049 5.26442 1.66888 2.18969
particlefilter 0 0 0.406222 2.21667 1.92479 0.782554 7.33426 12.4087 1.99179 1.66721 1.51616 1.24976
PLSA 0 0 6.58576 4.07526 0.491158 6.53799 5.7504 7.70849 5.4037 11.4018 2.41881 5.85827
Scalparc 0 0 4.13085 1.12387 1.49117 1.7476 0.875855 1.1444 1.11997 13.462 1.38071 1.06844
semphy 0 0 0 0 0 0 1.22332 1.22752 14.4269 1.51507 1.6034 1.7491
streamcluster 0 0 10.8324 0 0 0 0.775621 0.821188 8.33009 20.3455 4.15229 1.59214
swaptions 0 0.623423 2.83856 4.58527 4.64675 5.2097 9.52529 9.58414 0 3.03528 3.37088 5.18209
Swish 0 0 4.30335 0 0 0 0.396622 0.429091 4.80088 9.11979 0.0777691 1.07127
vips 0 0 1.68996 9.63178 0 0 14.3911 14.8243 11.0334 6.57074 4.66519 0.72595
x264 0 0.0271755 2.81286 3.22719 1.01563 4.31968 3.39592 3.82322 2.1355 2.11401 0.577985 3.65936
blackscholes 0 1.08295 1.70476 2.79986 1.24196 1.50683 10.5949 15.0326 0 2.52078 0.197519 0.0378972
bodytrack 0 0 0 0.929805 0 0 0.864764 1.12172 7.6805 5.77753 1.60227 2.26701
cfd 0 0 0 5.27526 1.58006 2.66056 8.2254 9.84733 3.11725 5.56643 2.58295 2.28901
fluidanimate 0 0.109443 1.05822 2.81013 3.28472 0.872456 3.36207 4.25921 1.37462 9.80438 1.97244 0.635262
HOP 0 0 0 3.8878 1.14756 9.55032 6.68724 7.80713 6.02331 13.8865 3.23567 7.9054
Jacobi 0 0.735014 16.7315 1.97883 4.152 3.15713 2.10074 2.306 0 6.16538 2.57099 3.85693
Kmeans 0 0 12.0809 0 0 0 1.65864 1.61528 10.4124 16.7346 2.46797 1.73758
AVERAGE 0 0.137457 3.79488 2.40839 1.05202 1.61711 3.86988 4.59106 6.44923 7.29222 2.06952 2.33993
