Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0 0 0 0 4.14177 4.14177 1.452 3.24208 1.22953 3.40858
bfs 0 0 0 0 0 0 3.82967 3.82967 2.06108 3.04419 1.03785 1.8845
filebound 0 10.9904 8.85025 23.2392 2.90858 0.0649659 23.2463 23.2463 6.30742 8.85454 2.68306 1.03344
Kmeansnf 0 5.31462 99.9584 79.7155 99.9584 5.7283 77.455 77.455 9.87845 11.9988 11.77 1.26343
svmrfe 0 11.6829 99.0365 17.711 99.0365 17.7439 0.552349 0.312366 14.8135 13.1474 11.2602 11.0869
apr 0 10.5841 14.5651 10.4973 22.0136 2.84808 4.09011 4.04391 10.0183 14.4316 19.516 9.30623
btree 0 0 0 0 0 0 1.28763 1.28763 2.29227 3.24566 0.94148 1.22482
lud 0 13.3959 99.6067 32.4638 99.6071 99.607 0.277373 0.26686 5.26174 33.1351 32.0528 5.11733
nn 0 23.6211 33.2929 37.1165 100 23.4575 37.042 37.0422 24.321 24.348 30.0452 7.37188
particlefilter 0 8.12609 8.04171 15.726 8.42399 0 2.24859 2.09396 3.62891 4.29836 7.7303 1.51992
PLSA 0 11.1999 28.5175 36.3785 14.6765 26.0442 34.0595 34.1425 17.7321 24.7875 13.6727 19.2112
Scalparc 0 11.5326 12.8817 23.8171 15.2863 10.9931 13.7479 13.7476 10.8111 7.36208 5.76322 13.8911
semphy 0 0 0 0.152168 0 0.726985 2.08794 2.08794 1.02805 2.83932 1.78834 1.79835
streamcluster 0 18.4209 97.6659 28.4493 97.6659 97.6659 4.95 4.95759 11.2695 25.4092 28.8459 10.9435
swaptions 0 18.6577 6.7691 18.5765 17.6954 10.6783 8.84534 8.84409 18.1855 1.03422 14.2194 8.92499
Swish 0 11.2036 8.98348 23.5222 3.12146 0.479457 23.5222 23.5222 4.69971 9.4618 3.0622 1.33154
vips 0 11.7585 11.6824 24.8971 13.1342 13.1169 10.4417 10.4492 13.8238 8.87271 13.5089 13.5089
x264 0 9.83211 4.56078 18.5293 4.85588 7.74303 10.3165 10.3487 9.65528 11.2319 5.8503 7.72913
blackscholes 0 14.5131 8.01986 22.7431 20.4825 9.07026 8.42693 8.42967 15.3325 8.33559 17.8388 9.08762
bodytrack 0 6.26031 9.35996 6.13326 7.52101 6.02479 0.801213 1.01212 11.4123 8.12562 4.64131 3.61488
cfd 0 16.4742 4.33349 20.5081 16.6611 16.6611 0.754498 0.742404 11.0668 4.28099 14.7931 10.6534
fluidanimate 0 15.48 21.6808 20.9671 24.0951 20.8412 1.13847 1.14141 15.9171 20.0633 23.1149 13.9475
HOP 0 23.2018 25.07 27.2521 9.37932 23.1212 15.1255 15.1085 21.7709 10.9322 8.59747 15.5822
Jacobi 0 20.9049 99.8698 29.0848 99.8698 4.6926 6.45718 6.44868 19.8239 31.8591 13.1495 1.54545
Kmeans 0 5.67721 99.9958 63.2731 99.9958 1.65725 60.4975 60.4975 6.08733 43.6966 21.2668 3.29496
AVERAGE 0 11.1533 32.1097 23.2301 35.0555 15.9586 14.2137 14.208 10.746 13.5215 12.3352 7.13127
