Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0 100 0 0 0 0 39.2308 0.512821 0.25641 0.25641
bfs 0 0.25641 0 100 0 0 0.512821 0.25641 39.4872 1.02564 0.25641 0.25641
filebound 0 0 0 100 0 0 0 0.25641 38.7179 0 0.25641 0.512821
Kmeansnf 0 0 100 100 0 0 100 100 39.4872 1.79487 0.25641 0.769231
svmrfe 0 0.25641 0 100 0 0 0.25641 0 39.4872 0 0.512821 0.769231
apr 0 0 5.38462 100 0 0 0 4.87179 42.3077 0.512821 0 0
btree 0 0 0 100 0 0 0 0 36.6667 0 0.769231 0.512821
lud 0 0 86.1538 100 0 24.1026 0.25641 1.28205 39.7436 1.02564 0.512821 0.769231
nn 0 0 0 100 0 0 0 0 38.2051 0.25641 0.25641 0.769231
particlefilter 0.25641 0 0 100 0 0 0 0 40.2564 0.512821 1.02564 0.25641
PLSA 0 0 0 100 0 0 4.10256 0.512821 40.7692 0.25641 0.25641 0
Scalparc 0 0 0 100 0 0 0 0 36.1538 0.25641 0 0
semphy 0 0 0 100 0 0 1.53846 2.05128 40.5128 0.25641 0 0.25641
streamcluster 0 0 0 100 0 0 8.71795 0 41.2821 0.25641 0.512821 0.512821
swaptions 0 0 0 100 0 0 0 0 39.4872 0.25641 0 0
Swish 0.25641 0 0 100 0 0 0 0 39.2308 0 0 0.25641
vips 0.25641 0 0 100 0 0 0.25641 0 38.2051 0.25641 1.02564 0.512821
x264 0 0 0 100 0 0 0 2.82051 37.1795 0.25641 0.25641 0.25641
blackscholes 0 0 0 100 0 0 0 0 39.7436 0 0 0.512821
bodytrack 0 0 0 100 0 0 0 0 38.2051 0 0.512821 0.769231
cfd 0.512821 0 0 100 0 0 0 0 36.9231 0.512821 0.512821 0
fluidanimate 0 0 0 100 0 0 0 0.769231 41.2821 0.512821 0.512821 0
HOP 0 0 0 100 0 0 0 0 38.4615 1.02564 0 0
Jacobi 0.25641 0.25641 100 100 0 0 2.5641 1.02564 40.7692 0.769231 0.512821 0.25641
Kmeans 0 0 100 100 0 0 0 0 39.4872 2.30769 0 0
AVERAGE 0.0615384 0.0307692 15.6615 100 0 0.964104 4.7282 4.55385 39.2513 0.502564 0.328205 0.328205
