Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0 100 0 0 0.25641 0.769231 95.641 0 1.28205 0.769231
bfs 0.512821 0.25641 0 100 0 0 1.79487 0.512821 98.2051 0.25641 1.53846 1.53846
filebound 0 0.25641 1.28205 100 0 0 0.512821 0 96.6667 0.512821 1.79487 1.02564
Kmeansnf 0 0 100 100 0 0 0.769231 0.769231 95.641 75.1282 0.25641 1.53846
svmrfe 0.25641 0 0 100 0 1.02564 0.25641 0.512821 96.4103 2.5641 1.28205 0.512821
apr 0.25641 0 0 100 0 0 0 0 96.1538 0.769231 1.53846 1.79487
btree 0 0.769231 0 100 0 0 0 0 95.1282 0 2.05128 0.512821
lud 0.512821 0 11.5385 100 0 0.769231 0 0 96.6667 0.25641 1.28205 0.25641
nn 0 0 1.28205 100 0 0 0.25641 0.512821 95.3846 0.769231 0.769231 0.512821
particlefilter 0.25641 0.512821 0 100 0 1.02564 10.7692 42.3077 95.8974 0.25641 0.512821 1.02564
PLSA 0.25641 0.512821 0.25641 100 0.25641 0.512821 4.10256 1.02564 97.6923 0 0.512821 0.769231
Scalparc 0 0 0 100 0 0 0 0.769231 97.1795 0 1.28205 1.02564
semphy 0.512821 0 0 100 0 0 0.512821 0 95.8974 0.512821 1.53846 0.769231
streamcluster 0 0.25641 0 100 0 0 2.05128 0.25641 95.641 0.512821 0.25641 0.769231
swaptions 0.25641 0.512821 0 100 0 0 8.97436 17.9487 96.9231 0.769231 1.28205 1.53846
Swish 0.25641 0.25641 0.512821 100 0 0 0 0.512821 94.8718 0.512821 1.28205 0.769231
vips 0.25641 0 0 100 0 0 5.38462 3.07692 96.4103 0 2.30769 0.25641
x264 0.25641 0.25641 1.02564 100 0 0 0.25641 1.28205 95.3846 0 0 0.25641
blackscholes 0.25641 0.512821 0 100 0 0 9.74359 45.8974 96.1538 0 1.02564 1.53846
bodytrack 0.25641 0.512821 0 100 0 0 1.28205 0.25641 97.6923 0.25641 1.02564 1.28205
cfd 0.25641 0.25641 0.512821 100 0.25641 0.25641 4.61538 20 96.1538 0 0.512821 0.512821
fluidanimate 0 0 0 100 0 0 3.33333 2.82051 96.1538 0.512821 1.53846 0.512821
HOP 0.512821 0.769231 0 100 0 0.769231 1.28205 0.769231 95.641 0 0.769231 0.25641
Jacobi 0.769231 0 0 100 0 0 1.02564 1.02564 94.8718 3.58974 0.512821 0.512821
Kmeans 0.512821 0 100 100 0 0 0.769231 0.769231 97.6923 46.4103 0.512821 0.512821
AVERAGE 0.246154 0.225641 8.65641 100 0.0205128 0.174359 2.31795 5.67179 96.2461 5.34359 1.06667 0.830769
