Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0 7.80957 0 0 1.86811 3.27693 1.98358 3.52677 98.4448 2.00281
bfs 0 0 0 13.4224 0 0 0 4.63769 1.3474 3.63997 99.2428 2.20477
filebound 0 25.0078 4.56574 16.9443 5.05023 0 17.8795 22.4412 0.288623 10.2503 99.1905 0.384341
Kmeansnf 0 77.2166 99.958 73.7661 99.9578 4.76233 78.9435 77.2205 5.21463 13.2544 99.7686 15.7383
svmrfe 0 15.3179 8.96276 4.26044 14.9494 15.0824 36.5793 5.73973 7.78767 12.7977 98.5219 8.03081
apr 0 12.4226 6.65247 5.1286 5.17572 8.46994 18.2527 3.27745 8.69817 16.2192 98.0817 8.58304
btree 0 0 0 3.17518 0 0 0.00523799 1.2171 0.227026 4.00774 99.4232 0.219147
lud 0 14.0635 99.6097 0 99.6097 14.0635 38.2039 7.33818 20.4301 31.7565 98.8925 19.3765
nn 0 37.1934 12.5396 29.897 27.6316 6.12667 35.0897 34.5812 5.49363 23.904 99.381 5.5829
particlefilter 0 12.7715 5.56485 3.58477 13.116 2.95316 9.7963 5.09821 3.50142 6.71512 99.1007 3.63014
PLSA 0 37.5187 3.85968 27.3404 16.2532 27.3501 6.72365 27.5753 28.7361 6.60281 99.2799 28.0893
Scalparc 0 28.807 5.12373 16.8663 7.9838 16.8589 12.5095 15.6484 9.78592 7.18873 99.1847 9.54724
semphy 0 0 1.74431 1.32113 0 0 0.254941 1.19082 0.275624 4.21575 99.3298 0.322617
streamcluster 0 23.7019 24.2004 10.8192 33.5656 26.9043 34.3414 15.6473 31.0828 23.9046 97.2155 2.66093
swaptions 0 18.1492 6.18039 6.19478 11.0509 3.48864 10.1531 2.68827 4.6149 3.1859 99.0223 4.76274
Swish 0 25.5 6.95473 17.4446 5.64389 0 18.5819 23.039 0.761157 8.50873 99.3417 0.907647
vips 0 12.439 10.4166 8.08216 12.0273 11.8769 18.3867 15.145 12.5831 20.027 99.3974 12.583
x264 0 12.3666 6.05208 11.1695 6.53936 9.70772 9.88422 3.99478 8.21301 12.1365 99.2308 8.22628
blackscholes 0 14.1386 2.11422 6.13485 18.924 2.11419 2.20677 4.25784 2.97916 2.86629 99.0431 2.8968
bodytrack 0 6.0976 9.28011 0 3.85139 1.67596 5.21072 0.127367 1.99388 6.51513 99.2099 2.10928
cfd 0 15.5398 1.23441 0 15.9184 9.62416 11.0279 3.8875 6.38495 2.233 99.2883 7.81191
fluidanimate 0 19.2631 14.1967 5.65935 16.4127 12.3117 14.2756 6.3948 12.5644 15.353 99.1206 12.1792
HOP 0 29.3272 0 16.369 11.9277 16.3683 6.37404 20.3237 21.7783 10.915 99.336 19.5777
Jacobi 0 23.1102 99.8735 7.23749 99.8735 2.13005 40.7786 12.033 0.620316 33.6616 99.1284 0.751241
Kmeans 0 60.1463 99.9957 56.4018 99.9957 0 61.8612 60.1038 4.61181 63.2498 99.6472 4.89378
AVERAGE 1 1.20804 1.21163 1.13961 1.25018 1.07675 1.19568 1.15075 1.08078 1.13865 1.99073 1.07323
