Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 24.0716 1.8527 3.25565 2.4122 5.25302 2.26367 3.80918 3.01394 3.495 1.8452 3.12121
bfs 0 27.3821 3.03847 3.46582 1.77766 2.67933 0.012998 4.34755 1.8605 5.3583 1.36743 1.89817
filebound 0 0 8.76907 26.3366 9.62051 3.44941 20.141 23.6408 1.40445 10.9574 7.33895 1.77486
Kmeansnf 0 17.5819 17.5819 59.6004 17.5819 12.4018 62.6103 64.3817 5.30457 11.2679 2.84553 20.3573
svmrfe 0 0 11.1421 34.5361 14.1411 10.3659 31.5717 2.65508 9.46538 11.7538 10.7654 12.2892
apr 0 0 10.3141 21.2076 26.8718 10.7125 17.9285 4.89643 11.6273 17.6196 12.9258 10.0467
btree 0 22.1566 5.61231 5.82078 5.83811 5.43188 0.273459 1.50625 0.634265 3.36535 0.651313 1.15111
lud 0 0 0 24.7829 0 24.0353 28.1733 5.56267 19.4618 23.8761 25.1325 3.69033
nn 0 0 30.2101 38.4714 38.1539 3.85139 39.7564 36.3991 7.18333 27.7899 35.6598 10.8705
particlefilter 0 0 0.417641 22.5093 19.7015 0 9.52024 4.18495 3.83881 6.74674 15.9084 4.11923
PLSA 0 0 25.022 26.9625 24.215 25.022 9.29462 31.715 31.7935 15.5463 17.1122 25.0474
Scalparc 0 0 20.6668 25.1546 7.79254 5.43116 10.7679 15.7403 13.3877 9.09983 13.0231 13.487
semphy 0 19.5665 0 9.84894 8.69221 9.85172 1.47618 2.15451 1.80671 2.93467 5.43652 1.80743
streamcluster 0 0 33.7064 29.7901 0 32.8594 30.4533 12.5458 28.6942 24.1644 30.182 5.75858
swaptions 0 0 5.98274 26.369 26.6415 9.72227 13.0505 5.4416 6.99158 5.7397 12.4255 7.24187
Swish 0 0 8.53011 26.345 9.50004 3.11582 19.8643 23.6545 1.38031 9.49176 7.07588 1.73489
vips 0 12.7776 6.60725 28.1813 22.0812 22.0809 17.1764 13.867 13.5211 14.7333 13.3974 13.9282
x264 0 0 6.70118 26.5129 10.9399 9.24811 11.0614 12.426 9.89817 15.962 9.81765 12.2601
blackscholes 0 0 4.90627 28.5412 28.0569 8.46929 9.87278 6.09311 7.13161 6.56984 15.9684 6.99119
bodytrack 0 0 2.70451 17.6397 6.44893 2.94075 5.91126 1.51523 4.60059 8.43686 11.0572 4.49703
cfd 0 0 0 33.6722 24.6126 3.5729 15.4961 3.05089 8.40263 3.73474 17.5639 9.16616
fluidanimate 0 0 12.458 25.108 27.8063 14.244 17.5497 4.25625 15.2299 17.4784 21.8485 13.6353
HOP 0 0 7.99084 23.5109 19.3536 19.2944 6.28043 19.0264 20.1171 11.1457 14.5413 19.9
Jacobi 0 0 0 32.0804 0 3.43127 32.272 10.3715 1.73342 28.9212 7.75409 3.27167
Kmeans 0 10.9808 10.9808 55.9407 10.9808 10.894 54.5685 57.3686 4.98265 14.2221 8.06102 4.95265
AVERAGE 1 1.05381 1.09408 1.26226 1.14529 1.10334 1.18694 1.14824 1.09339 1.12416 1.12788 1.0852
