Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL  CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0.0210526 0.0210526 0.0210526 0.0210526 0.0263158 0.136842 0.0736842 0.0473684 0.0210526 0.0421053
bfs 0 0 0.0368421 0.352632 0.0368421 0.0315789 0.0263158 0.0684211 0.1 0.0578947 0.0578947 0.0526316
filebound 0 0 0.0315789 0.0263158 0.0263158 0.0263158 0.0263158 0.0789474 0.0473684 0.0368421 0.0421053 0.0263158
Kmeansnf 0 0 1 1 0.0263158 0.0210526 0.0473684 0.0526316 0.0473684 0.0578947 0.0526316 0.0210526
svmrfe 0 0 0.0315789 0.0315789 0.0263158 0.0157895 0.0157895 0.110526 0.0421053 0.0736842 0.0736842 0.0578947
apr 0 0 0.0368421 0.0368421 0.0368421 0.0315789 0.0263158 0.0157895 0.0473684 0.0263158 0.0631579 0.0578947
btree 0 0 0.0368421 0.0368421 0.0368421 0.0315789 0.0157895 0.0894737 0.0473684 0.0315789 0.0421053 0.0684211
lud 0 0 0.252632 0.926316 0.0315789 0.0263158 0.0263158 0.0842105 0.0894737 0.0263158 0.0263158 0.0368421
nn 0 0 0.0368421 0.0368421 0.0368421 0.0210526 0.0105263 0.0578947 0.105263 0.0368421 0.0421053 0.0631579
particlefilter 0 0 0.0157895 1 0.0157895 0.0210526 0.542105 0.547368 0.0421053 0.0684211 0.0684211 0.0526316
PLSA 0 0 0.0210526 0.510526 0.0210526 0.0210526 0.0157895 0.0368421 0.0736842 0.0578947 0.0578947 0.0315789
Scalparc 0 0 0.00526316 0.00526316 0.00526316 0 0.0263158 0.0684211 0.0526316 0.0526316 0.0526316 0.0315789
semphy 0 0 0.0368421 0.0421053 0.0421053 0.0368421 0.0315789 0.0842105 0.0368421 0.0421053 0.0473684 0.0526316
streamcluster 0 0 0.0315789 0.0368421 0.0263158 0.0157895 0.0210526 0.178947 0.0473684 0.0526316 0.0578947 0.0631579
swaptions 0 0 0.0105263 0.989474 0.0105263 0.0105263 0.0368421 0.3 0.0526316 0.0421053 0.0421053 0.0315789
Swish 0 0 0.0526316 0.0315789 0.0263158 0.0210526 0.0421053 0.0631579 0.0789474 0.0578947 0.0368421 0.0368421
vips 0 0 0.0368421 0.936842 0.0368421 0.0368421 0.0631579 0.247368 0.0631579 0.0526316 0.0473684 0.0473684
x264 0 0 0.0157895 0.273684 0.0105263 0.0157895 0.0157895 0.0315789 0.0368421 0.0421053 0.0421053 0.0421053
blackscholes 0 0 0.0263158 0.989474 0.0263158 0.0157895 0.2 0.484211 0.0421053 0.0315789 0.0315789 0.0368421
bodytrack 0 0 0.00526316 0.00526316 0.00526316 0.00526316 0.0263158 0.0210526 0.0631579 0.0526316 0.0526316 0.0473684
cfd 0 0 0.0210526 0.873684 0.0210526 0.0263158 0.0473684 0.2 0.0947368 0.0526316 0.0526316 0.0526316
fluidanimate 0 0 0.0157895 0.384211 0.0157895 0.0210526 0.0105263 0.0526316 0.0578947 0.0578947 0.0526316 0.0263158
HOP 0 0 0.0210526 0.315789 0.0210526 0.0105263 0.0368421 0.0473684 0.0263158 0.0368421 0.0368421 0.0473684
Jacobi 0 0 0.0263158 0.0684211 0.0263158 0.0263158 0.0421053 0.0421053 0.0421053 0.0684211 0.0631579 0.0263158
Kmeans 0 0 1 0.0210526 0.0263158 0.0210526 0.0210526 0.0789474 0.0526316 0.0368421 0.0315789 0.0263158
AVERAGE 0 0 0.113053 0.358105 0.0246316 0.0212631 0.056 0.127158 0.0585263 0.048 0.0477895 0.0431579
