Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL  CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0.0368421 0.989474 0.0368421 0.0473684 0.0263158 0.378947 0.0421053 0.0473684 1 0.0526316
bfs 0 0 0.0368421 1 0.0368421 0.0368421 0.0315789 0.5 0.0631579 0.0473684 1 0.0789474
filebound 0 0 0.0210526 1 0.0210526 0.0157895 0.0210526 0.0578947 0.0684211 0.0421053 1 0.0421053
Kmeansnf 0 0 1 1 1 0.0421053 1 1 0.336842 0.0473684 1 0.0473684
svmrfe 0 0 0.394737 0.0105263 0.0105263 0.0105263 0.0368421 0.0473684 0.0631579 0.0578947 1 0.0368421
apr 0 0 0.0842105 0.0315789 0.0368421 0.0421053 0.0315789 0.0684211 0.110526 0.0631579 1 0.0631579
btree 0 0 0.0263158 0.815789 0.0263158 0.0263158 0.0315789 0.352632 0.0631579 0.0473684 1 0.0473684
lud 0 0 1 0.0210526 1 0.0263158 1 0.442105 0.357895 1 1 0.0473684
nn 0 0 0.0263158 0.963158 0.0210526 0.0263158 0.0315789 0.0315789 0.0368421 0.0368421 1 0.0368421
particlefilter 0 0 0.0684211 0.0421053 0.0421053 0.0421053 0.0473684 0.0368421 0.0631579 0.0631579 1 0.0631579
PLSA 0 0 0.0263158 0.0263158 0.0263158 0.0263158 0.0473684 0.105263 0.0947368 0.0473684 1 0.0526316
Scalparc 0 0 0.110526 0.0526316 0.0473684 0.0526316 0.0263158 0.0473684 0.0263158 0.0631579 1 0.0631579
semphy 0 0 0.0631579 0.178947 0.0263158 0.0210526 0.0210526 0.163158 0.0684211 0.0315789 1 0.0315789
streamcluster 0 0 0.0315789 0.0421053 0.0263158 0.968421 0.173684 0.5 0.0578947 0.0526316 1 0.0526316
swaptions 0 0 0.0684211 0.0368421 0.0473684 0.0315789 0.0368421 0.0315789 0.0842105 0.0736842 1 0.0526316
Swish 0 0 0.0368421 1 0.0368421 0.0368421 0.00526316 0.0368421 0.0631579 0.0578947 1 0.0473684
vips 0 0 0.0368421 0.0421053 0.0368421 0.0421053 0.0421053 0.0421053 0.0684211 0.0631579 1 0.0631579
x264 0 0 0.557895 0.0263158 0.0263158 0.0263158 0.0210526 0.0263158 0.0526316 0.0473684 1 0.0473684
blackscholes 0 0 0.0421053 0.0315789 0.0315789 0.0421053 0.0315789 0.0526316 0.0736842 0.0473684 1 0.0473684
bodytrack 0 0 0.0368421 0.0263158 0.0421053 0.0421053 0.0263158 0.0263158 0.115789 0.0736842 1 0.0578947
cfd 0 0 0.0157895 0.0157895 0.0578947 0.0578947 0.0157895 0.0526316 0.126316 0.0736842 1 0.0736842
fluidanimate 0 0 0.0263158 0.0263158 0.0263158 0.0578947 0.0315789 0.105263 0.0473684 0.0368421 1 0.0368421
HOP 0 0 0.0263158 0.0263158 0.0263158 0.0263158 0.0157895 0.0421053 0.121053 0.0631579 1 0.0631579
Jacobi 0 0 1 0.0105263 1 0.0105263 0.473684 0.110526 0.0105263 0.610526 1 0.0315789
Kmeans 0 0 1 1 1 0.0157895 1 0.852632 0.0473684 1 1 0.0421053
AVERAGE 0 0 0.230947 0.336632 0.187579 0.0709474 0.169053 0.204421 0.0905263 0.151789 1 0.0511579
