0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 backprop 0.0 0.0 0.0 0.0 0.0 0.0 1.86 3.49 2.5 3.11 98.51 2.51
2 bfs 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.3 1.38 3.29 99.29 1.37
3 filebound 0.0 24.36 5.39 24.36 4.33 0.86 19.82 24.14 0.23 9.85 99.16 0.05
4 Kmeansnf 0.0 77.61 99.96 77.13 99.96 6.47 79.31 77.62 4.13 13.59 99.78 14.76
5 svmrfe 0.0 14.15 11.29 20.07 13.78 9.9 32.2 2.68 9.45 11.45 98.49 9.49
6 apr 0.0 11.58 10.82 11.64 22.94 9.52 15.89 3.24 9.87 12.2 98.08 9.17
7 btree 0.0 0.0 0.0 0.0 0.0 0.0 0.17 0.93 0.49 3.26 99.43 0.49
8 lud 0.0 14.19 99.61 33.07 99.61 14.19 38.13 2.29 17.63 31.76 98.89 5.94
9 nn 0.0 37.15 25.6 37.16 37.69 6.07 41.86 36.58 5.81 22.34 99.36 8.04
10 particlefilter 0.0 10.55 10.55 18.03 10.96 0.55 5.76 2.39 2.21 8.39 99.06 5.29
11 PLSA 0.0 36.94 26.68 36.94 15.48 26.68 3.56 30.59 30.59 12.83 99.26 20.16
12 Scalparc 0.0 27.34 7.29 27.34 5.97 15.04 8.81 14.85 12.79 8.61 99.17 12.81
13 semphy 0.0 0.0 3.1 0.0 0.0 0.0 1.16 1.54 0.8 3.37 99.32 0.8
14 streamcluster 0.0 20.82 29.14 30.51 97.73 30.51 33.29 10.74 30.36 23.73 97.06 5.37
15 swaptions 0.0 18.27 5.08 18.27 17.4 9.42 8.57 5.13 4.78 4.31 99.01 4.95
16 Swish 0.0 24.65 7.12 24.65 4.56 1.22 20.1 24.59 1.08 10.76 99.35 0.9
17 vips 0.0 13.64 11.65 24.8 12.84 13.09 17.13 13.38 13.28 18.97 99.37 13.28
18 x264 0.0 12.88 4.56 20.48 7.09 5.99 8.56 12.04 8.32 15.4 99.22 6.98
19 blackscholes 0.0 15.07 3.76 22.07 19.8 7.14 1.18 4.51 6.04 6.2 99.01 6.62
20 bodytrack 0.0 6.19 9.37 6.19 3.94 6.0 3.05 0.09 2.75 7.62 99.2 2.67
21 cfd 0.0 15.99 1.76 20.08 16.33 16.34 9.65 2.71 7.24 3.23 99.3 7.35
22 fluidanimate 0.0 18.32 14.91 21.6 24.7 15.22 17.18 3.62 14.04 17.9 99.08 13.06
23 HOP 0.0 29.18 4.53 29.19 11.75 16.2 4.07 18.73 18.94 9.42 99.33 18.92
24 Jacobi 0.0 23.02 99.87 30.99 99.87 2.02 34.03 10.48 1.74 33.59 99.12 1.83
25 Kmeans 0.0 60.55 100.0 63.33 100.0 1.85 62.27 60.52 4.59 63.57 99.64 4.69
26 AVERAGE 0.0 20.5 23.68 23.92 29.07 8.57 18.7 14.89 8.44 14.35 99.06 7.1
