0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 backprop 0.0 0.0 2.11 98.42 2.11 2.11 2.63 5.79 5.79 5.79 5.79 3.68
2 bfs 0.0 0.0 4.21 100.0 3.68 3.68 3.68 33.16 8.42 5.26 5.26 5.26
3 filebound 0.0 0.0 11.58 2.11 2.11 0.53 1.58 4.21 4.74 4.74 4.74 4.74
4 Kmeansnf 0.0 0.0 100.0 100.0 2.63 2.63 1.05 5.79 4.74 3.68 5.26 5.26
5 svmrfe 0.0 0.0 4.21 4.21 3.68 8.42 3.16 4.21 9.47 6.84 6.32 4.21
6 apr 0.0 0.0 4.74 8.95 4.74 4.21 1.58 2.63 3.68 4.21 4.21 6.84
7 btree 0.0 0.0 2.11 59.47 2.11 2.63 2.11 3.68 4.74 5.79 5.79 3.16
8 lud 0.0 0.0 41.05 100.0 3.16 7.89 46.84 8.95 2.63 5.79 5.79 4.21
9 nn 0.0 0.0 11.05 25.79 3.16 1.58 5.79 7.37 8.42 3.16 3.16 4.21
10 particlefilter 0.0 0.0 1.58 100.0 1.58 5.79 66.32 50.0 5.26 5.79 6.32 2.63
11 PLSA 0.0 0.0 1.05 58.42 1.05 6.84 11.05 23.16 3.68 5.26 5.26 4.21
12 Scalparc 0.0 0.0 4.21 6.32 3.68 4.21 6.84 3.16 6.84 5.79 5.79 7.37
13 semphy 0.0 0.0 2.63 18.95 3.16 2.11 1.58 3.68 4.21 5.26 5.26 3.16
14 streamcluster 0.0 0.0 2.11 2.11 3.68 2.11 3.16 6.84 4.74 5.26 4.74 5.79
15 swaptions 0.0 0.0 4.21 99.47 4.21 6.84 61.05 49.47 3.68 4.74 4.74 5.79
16 Swish 0.0 0.0 11.58 2.63 2.11 2.11 1.58 7.37 3.68 5.79 5.26 3.68
17 vips 0.0 0.0 5.26 100.0 4.74 3.68 56.84 47.37 5.79 4.21 3.68 5.79
18 x264 0.0 0.0 11.05 51.05 1.58 1.58 11.05 14.21 6.84 3.68 3.68 4.21
19 blackscholes 0.0 0.0 2.63 100.0 1.58 3.16 64.74 49.47 4.21 5.79 5.79 6.84
20 bodytrack 0.0 0.0 0.53 1.05 1.05 0.53 2.63 4.21 4.74 5.79 5.79 1.05
21 cfd 0.0 0.0 6.32 100.0 1.58 1.58 44.74 46.84 3.16 1.58 1.58 3.68
22 fluidanimate 0.0 0.0 1.05 83.68 1.58 1.05 12.63 37.89 6.32 5.79 5.79 4.74
23 HOP 0.0 0.0 1.05 67.89 1.05 2.11 7.37 25.26 6.32 5.26 5.26 3.68
24 Jacobi 0.0 0.0 1.58 38.95 3.16 1.58 3.68 21.58 7.89 4.21 4.21 2.11
25 Kmeans 0.0 0.0 100.0 68.95 1.58 1.58 1.05 7.37 6.32 1.05 1.05 2.63
26 AVERAGE 0.0 0.0 13.52 55.94 2.59 3.22 16.99 18.95 5.45 4.82 4.82 4.36
