0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 backprop 0.0 0.42 5.77 2.43 3.96 3.6 3.65 3.65 26.43 4.43 2.76 2.61
2 bfs 0.0 1.6 3.94 3.42 2.32 3.16 4.32 4.32 27.27 4.59 1.16 2.33
3 filebound 0.0 1.1 9.17 12.38 8.32 1.04 19.4 19.39 0.0 8.04 3.47 2.47
4 Kmeansnf 0.0 0.21 30.87 55.74 19.97 5.43 65.39 65.39 20.68 30.75 5.03 5.36
5 svmrfe 0.0 1.89 2.06 12.07 11.61 8.68 1.63 7.22 5.02 10.06 11.58 9.55
6 apr 0.0 2.05 5.08 15.27 4.85 6.98 2.39 2.72 0.0 7.15 3.99 6.79
7 btree 0.0 0.04 8.15 1.54 0.62 0.48 1.41 1.41 23.83 4.89 1.26 1.06
8 lud 0.0 3.21 0.0 9.89 0.0 30.9 7.03 7.22 0.0 28.88 30.33 17.27
9 nn 0.0 3.07 18.47 29.78 31.21 8.7 32.05 31.94 0.0 18.36 21.26 5.34
10 particlefilter 0.0 2.09 4.52 8.02 26.31 0.68 4.95 5.21 0.0 4.85 10.64 3.18
11 PLSA 0.0 2.27 18.17 26.87 18.33 18.35 12.35 27.44 0.0 9.93 12.48 30.48
12 Scalparc 0.0 3.54 4.52 22.12 6.1 10.52 8.81 13.85 0.0 4.43 3.88 6.52
13 semphy 0.0 0.0 3.37 1.46 2.78 0.85 1.6 1.6 21.65 3.2 2.52 1.07
14 streamcluster 0.0 0.43 27.01 23.74 40.24 21.49 12.38 20.69 0.0 25.2 31.8 5.41
15 swaptions 0.0 2.45 4.34 12.13 14.6 6.25 2.54 3.08 0.0 1.85 7.21 4.34
16 Swish 0.0 0.68 9.04 12.21 8.5 0.93 20.13 20.13 0.0 7.09 3.44 1.07
17 vips 0.0 1.31 20.83 18.06 25.6 25.6 16.42 16.61 18.14 15.62 11.73 11.82
18 x264 0.0 3.3 4.58 17.0 10.67 5.11 4.98 5.11 0.0 7.94 6.18 4.49
19 blackscholes 0.0 2.02 5.36 9.96 19.7 2.02 3.88 4.77 0.0 3.5 11.11 3.32
20 bodytrack 0.0 0.91 1.39 6.86 4.7 0.98 0.83 0.82 0.0 4.63 4.81 2.86
21 cfd 0.0 1.64 4.01 9.97 29.44 12.37 3.38 5.02 0.0 2.69 9.65 6.45
22 fluidanimate 0.0 2.96 12.26 13.97 20.23 8.03 2.72 8.74 0.0 14.26 15.69 11.75
23 HOP 0.0 3.93 4.32 24.74 18.42 24.72 6.22 21.19 0.0 2.16 8.76 24.69
24 Jacobi 0.0 0.86 0.0 19.18 0.0 2.02 2.44 12.16 0.0 0.84 13.62 3.35
25 Kmeans 0.0 0.35 14.83 46.02 14.83 4.99 58.7 58.72 14.57 57.19 11.53 5.9
26 AVERAGE 0.0 1.69 8.88 16.59 13.73 8.55 11.98 14.74 6.3 11.3 9.84 7.18
