0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 backprop 0.0 1.03 0.26 0.26 0.26 0.0 2.56 2.56 45.38 2.31 3.59 2.05
2 bfs 0.0 0.77 0.0 0.0 0.0 0.0 5.9 5.9 45.13 2.56 2.05 2.05
3 filebound 0.0 46.67 41.79 46.67 0.26 0.26 46.67 48.21 43.85 2.82 2.82 2.82
4 Kmeansnf 0.0 100.0 100.0 100.0 100.0 0.0 100.0 100.0 47.44 95.13 100.0 2.56
5 svmrfe 0.0 2.05 100.0 0.0 100.0 0.0 1.03 0.77 45.13 4.1 27.18 2.31
6 apr 0.0 1.28 70.77 0.0 0.51 0.26 1.03 0.0 42.31 1.28 2.31 1.28
7 btree 0.0 2.31 0.0 0.26 0.26 0.26 2.56 2.56 44.62 4.36 4.1 4.1
8 lud 0.0 1.03 100.0 100.0 100.0 100.0 1.28 1.28 47.69 100.0 100.0 4.1
9 nn 0.0 34.87 0.26 34.87 100.0 0.0 36.67 36.67 45.9 3.08 81.03 2.05
10 particlefilter 0.0 1.03 0.0 0.0 0.0 62.05 1.54 1.54 42.56 3.59 3.59 3.59
11 PLSA 0.0 2.05 98.97 0.51 0.26 99.49 0.51 0.51 40.77 1.54 2.82 2.31
12 Scalparc 0.0 1.54 0.26 0.26 0.26 9.49 1.03 0.51 44.36 2.82 1.03 2.82
13 semphy 0.0 1.28 0.26 0.26 0.26 0.26 1.28 1.28 44.36 2.56 2.31 2.31
14 streamcluster 0.0 0.51 100.0 98.21 100.0 100.0 5.38 5.9 44.36 73.33 62.31 3.59
15 swaptions 0.0 1.03 7.18 0.0 0.0 0.77 1.03 1.03 46.67 1.79 3.33 3.33
16 Swish 0.0 52.82 45.9 52.82 0.51 1.28 52.82 52.82 44.1 2.56 1.54 2.56
17 vips 0.0 0.26 0.0 0.26 0.0 0.0 6.67 6.92 45.64 3.85 3.59 3.59
18 x264 0.0 0.26 7.44 0.0 0.0 0.0 0.51 0.51 43.59 3.08 3.08 2.82
19 blackscholes 0.0 1.28 0.26 0.0 0.0 0.0 2.05 2.56 44.87 2.56 2.56 2.56
20 bodytrack 0.0 2.31 0.0 0.0 0.0 0.0 1.03 0.51 48.72 2.56 2.82 2.82
21 cfd 0.0 1.54 0.26 0.0 0.0 0.0 1.03 0.0 46.92 1.03 2.82 2.31
22 fluidanimate 0.0 1.03 0.51 0.51 0.77 0.51 1.79 2.31 46.15 1.54 0.77 1.54
23 HOP 0.0 1.03 2.31 0.0 0.0 0.0 1.03 1.03 47.18 2.31 3.08 2.82
24 Jacobi 0.0 1.28 100.0 9.49 100.0 0.0 2.05 1.28 45.9 100.0 100.0 0.77
25 Kmeans 0.0 100.0 100.0 100.0 100.0 0.0 100.0 100.0 42.56 100.0 100.0 2.31
26 AVERAGE 0.0 14.37 35.06 21.77 28.13 14.98 15.1 15.07 45.05 20.83 24.75 2.62
