0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 20.7495 20.9151 12.4854 0.240675 10.3158 7.41483
2 BFS 0 11.4213 8.82923 4.80813 0.000167474 3.38632 2.84472
3 BLACKSCHOLES_10M 0 59.1109 57.9952 10.1304 63.417 14.7767 11.464
4 BODYTRACK 0 13.8988 4.35377 2.02017 14.0235 5.15926 4.07863
5 FACESIM 0 5.14663 4.21664 5.69449 5.61816 4.94687 5.35965
6 FERRET 0 6.21222 0 3.02111 0 2.49515 3.31755
7 HEARTWALL 0 38.9575 36.9781 39.3933 1.06463 15.4418 7.02586
8 HOTSPOT 0 8.92377 14.0819 9.49641 8.42548 4.45212 3.11732
9 JACOBI 0 14.4389 2.28519 2.79537 13.5846 6.49722 5.61448
10 KMEANS 0 7.38156 8.88796 6.25966 13.5213 4.26023 3.19919
11 KMEANSNF 0 54.4743 42.3151 54.7306 47.5907 15.1759 9.1621
12 LAVAMD 0 70.4395 59.418 23.4021 14.08 20.3238 20.3394
13 LEUKOCYTE 0 5.11839 4.45929 5.27326 14.8814 6.9286 5.99772
14 LUD 0 19.8693 16.6432 21.2637 6.14701 8.90031 6.37171
15 NW 0 11.9043 11.9675 9.27948 1.83291 3.44959 3.43091
16 SHA 0 8.17217 0.274273 0 8.07012 2.92211 3.27132
17 SRAD 0 33.1117 25.6674 22.2069 15.7213 9.15093 8.18418
18 STREAM 0 0.957247 0.0737733 0.845319 19.5241 6.66496 6.68942
19 STREAM_threads 0 16.2008 16.703 1.00871 26.3324 8.63527 9.4748
20 X264_ducks 0 4.20728 4.01685 4.68428 0.327674 4.57175 3.82793
21 X264_native 0 3.70484 0 4.19311 1.0223 6.21925 3.495
22 AVERAGE 1 18.8364 15.4582 11.0451 12.5193 7.48518 6.0764
