0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 52.05 0.0 10.78 39.09 5.27 17.35 0.88 20.14 1.86 6.01 1.72
2 BFS 0.0 40.57 0.0 0.0 28.72 0.0 0.0 5.57 8.04 0.0 7.66 0.62
3 BLACKSCHOLES_10M 0.0 39.62 27.78 3.82 39.62 19.82 52.76 10.88 11.38 10.24 0.0 0.58
4 BODYTRACK 0.0 37.19 17.13 0.0 37.19 8.35 45.66 0.18 7.13 0.0 0.95 0.98
5 FACESIM 0.0 53.26 27.68 8.46 53.26 20.33 57.2 6.33 15.12 4.65 1.03 1.13
6 FERRET 0.0 31.09 31.09 0.0 31.09 13.77 45.86 0.54 8.18 0.0 0.4 0.1
7 HEARTWALL 0.0 33.04 22.22 0.0 33.03 14.99 49.09 0.99 2.75 0.0 1.49 0.24
8 HOTSPOT 0.0 32.84 1.32 0.0 21.49 0.0 8.22 0.0 10.6 0.0 4.29 1.37
9 JACOBI 0.0 73.44 18.38 44.02 29.58 29.58 59.77 37.9 11.52 24.16 6.33 7.96
10 KMEANS 0.0 33.73 33.73 0.0 33.73 9.16 45.59 0.36 7.85 0.0 2.92 0.0
11 KMEANSNF 0.0 59.76 59.76 11.59 59.76 45.63 67.69 3.76 2.32 41.38 5.57 5.38
12 LAVAMD 0.0 58.76 15.76 30.96 58.76 30.96 52.94 27.96 23.45 36.9 24.76 2.38
13 LEUKOCYTE 0.0 61.67 44.84 44.63 61.63 44.55 14.21 32.61 23.94 38.42 2.92 3.54
14 LUD 0.0 90.13 90.13 4.37 90.13 90.13 73.79 2.13 8.05 0.0 8.72 2.42
15 NW 0.0 47.96 10.68 0.0 47.96 0.0 39.21 0.0 18.07 6.76 4.7 0.19
16 SHA 0.0 33.01 12.43 0.0 33.01 3.49 43.11 0.0 4.12 0.0 0.1 0.21
17 SRAD 0.0 65.29 0.0 8.86 65.29 65.29 82.76 6.04 10.92 1.03 4.49 4.42
18 STREAM 0.0 62.19 0.0 31.94 17.3 17.31 17.22 11.73 17.6 19.62 7.98 5.11
19 STREAM_threads 0.0 80.39 15.18 57.05 97.22 8.58 70.46 38.83 14.19 12.94 98.55 11.12
20 X264_ducks 0.0 32.37 32.37 4.36 32.37 22.7 54.61 1.98 6.93 0.0 0.52 0.41
21 X264_native 0.0 31.87 31.87 0.0 31.87 16.96 48.46 0.92 10.9 0.0 0.65 0.09
22 AVERAGE 0.0 50.01 23.44 12.42 44.86 22.23 45.05 9.03 11.58 9.43 9.05 2.38
