0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.0 96.9 12.07 0.34 0.34 8.28 17.93 45.52 0.0 6.21 5.86
2 BFS 0.0 0.0 11.03 54.83 0.0 100.0 12.07 16.55 43.45 0.34 7.59 6.21
3 BLACKSCHOLES_10M 0.0 0.0 0.34 54.48 0.34 1.03 100.0 11.03 47.93 0.69 4.48 2.76
4 BODYTRACK 0.0 0.0 0.0 64.14 0.0 1.03 100.0 12.07 41.38 1.72 7.24 5.86
5 FACESIM 0.0 0.0 0.0 14.83 0.0 0.0 100.0 8.28 44.14 0.0 6.21 5.17
6 FERRET 0.0 0.0 0.34 20.34 0.34 0.34 100.0 11.72 43.45 0.0 7.93 6.55
7 HEARTWALL 0.0 0.0 0.0 19.31 0.0 0.0 100.0 12.41 44.48 0.0 4.48 2.41
8 HOTSPOT 0.0 0.0 0.34 85.52 0.0 92.76 10.0 14.83 43.1 0.0 5.52 4.83
9 JACOBI 0.0 0.0 100.0 18.62 1.03 0.69 24.83 17.93 41.72 30.69 8.28 6.9
10 KMEANS 0.0 0.0 0.0 50.69 0.34 0.34 100.0 10.69 46.9 0.0 5.52 4.14
11 KMEANSNF 0.0 0.0 0.34 14.14 0.34 0.69 100.0 5.86 45.52 18.62 5.86 5.17
12 LAVAMD 0.0 0.0 100.0 11.38 0.0 66.21 4.83 15.86 46.9 30.0 5.17 4.14
13 LEUKOCYTE 0.0 0.0 0.69 17.59 0.69 0.69 23.45 10.34 46.9 38.97 6.55 6.21
14 LUD 0.0 0.0 100.0 14.14 100.0 100.0 100.0 5.86 46.55 100.0 4.83 4.48
15 NW 0.0 0.0 0.0 9.66 0.0 0.0 10.69 13.45 43.79 0.0 5.52 3.45
16 SHA 0.0 0.0 0.0 98.97 0.0 58.62 100.0 12.41 45.86 0.0 7.24 4.83
17 SRAD 0.0 0.0 1.03 14.14 0.34 0.0 100.0 6.21 43.1 0.0 7.59 5.17
18 STREAM 0.0 0.0 66.55 14.48 1.38 1.38 32.41 22.41 42.76 100.0 7.59 7.93
19 STREAM_threads 0.0 0.0 100.0 11.03 100.0 0.0 25.86 20.34 44.48 100.0 100.0 4.83
20 X264_ducks 0.0 0.0 0.0 10.0 0.34 0.0 100.0 9.66 47.59 1.03 8.62 7.24
21 X264_native 0.0 0.0 0.34 13.1 0.34 0.69 100.0 10.69 45.52 0.34 5.52 3.79
22 AVERAGE 0.0 0.0 27.52 29.69 9.8 20.23 64.4 12.69 44.81 20.11 10.85 5.14
