0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 12.2745 0.0739516 7.76845 0.06 8.34992 0.725169
2 BFS 0 8.80413 4.46071 16.5223 0.061837 8.14718 0.781843
3 BLACKSCHOLES_10M 0 6.83011 4.54253 8.45123 26.1421 8.44686 0.722326
4 BODYTRACK 0 6.21391 5.04533 8.63823 16.5337 8.21269 0.669122
5 FACESIM 0 5.77033 0.0751134 7.66255 23.6989 7.72696 0.656084
6 FERRET 0 4.82925 1.00045 7.81682 24.669 8.15519 0.73288
7 HEARTWALL 0 5.66656 1.73643 7.85907 22.2693 8.4504 0.699006
8 HOTSPOT 0 8.42606 6.61296 12.3484 0.0727362 8.21211 0.702704
9 JACOBI 0 17.2907 0.064617 8.10869 5.6058 8.0911 0.666984
10 KMEANS 0 4.97473 3.95642 7.60342 25.3366 8.48793 0.735582
11 KMEANSNF 0 7.88029 0.0676504 8.64845 29.8661 8.04699 0.83564
12 LAVAMD 0 16.7807 0.0815398 11.2512 0.0628328 7.81419 0.655696
13 LEUKOCYTE 0 6.2876 0.070583 6.76106 0.073258 7.94403 0.775535
14 LUD 0 63.928 0.0754168 64.3454 71.6067 8.62055 1.74922
15 NW 0 7.67304 0.0797642 8.31026 0.0609326 7.92159 0.615897
16 SHA 0 6.5097 9.42205 10.6664 17.0875 8.56183 0.680746
17 SRAD 0 8.20168 0.0714356 5.72132 69.8666 8.27001 0.830891
18 STREAM 0 13.038 0.0643 8.33515 10.1199 8.66259 1.079
19 STREAM_threads 0 40.9559 0.0715648 6.27055 9.23533 8.04814 0.929389
20 X264_ducks 0 5.01018 0.076378 6.92045 22.2802 8.59521 0.745691
21 X264_native 0 4.90211 0.0820278 7.54073 25.0989 7.9383 0.726874
22 AVERAGE 0 11.9203 1.71506 10.7977 18.1731 7.85017 0.759831
