0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 0 32.8097 7.77149 54.4262 21.1216 3.88574
2 BFS 0 4.41917 15.9597 21.657 41.2604 13.2203 2.35901
3 BLACKSCHOLES_10M 0 0 0 0 0 0 0
4 BODYTRACK 0 10.8352 0 0 25.3743 7.40335 25.8482
5 FACESIM 0 0 0 0 26.9823 0 1.18958
6 FERRET 0 15.5237 0 0 15.4275 0 11.4502
7 HEARTWALL 0 6.85458 0 0 15.0412 0 0.447528
8 HOTSPOT 0 3.5503 15.0342 15.1581 38.2603 9.77332 2.09585
9 JACOBI 0 10.9543 46.896 12.2141 66.8334 23.6556 6.94168
10 KMEANS 0 12.2428 0 0 5.81813 0 0.0527093
11 KMEANSNF 0 58.966 3.70987 38.1972 49.8821 5.37092 2.75842
12 LAVAMD 0 67.8502 73.4836 72.7426 82.8037 59.9558 10.2631
13 LEUKOCYTE 0 52.6792 52.6792 52.532 68.0291 24.3681 7.36895
14 LUD 0 88.7023 0 88.7276 90.4348 0 0
15 NW 0 7.58264 19.7994 19.8111 49.0951 16.019 2.26416
16 SHA 0 17.7619 0 3.31508 31.5942 3.47302 30.47
17 SRAD 0 8.11839 15.795 27.2212 57.9438 9.04652 31.0374
18 STREAM 0 1.34598 44.2378 21.8709 61.4971 16.353 9.10863
19 STREAM_threads 0 34.7606 62.908 30.6217 77.7174 18.9131 10.8906
20 X264_ducks 0 0.382409 0 0 0 0 0
21 X264_native 0 17.2242 0 0 14.5676 0.812008 0.583537
22 AVERAGE 0 19.0797 17.4233 18.72 39.6813 10.4312 7.22797
