0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 22.27 0.0 29.17 28.44 15.15 27.08 27.07 15.22 11.07 15.49 1.73
2 BFS 0.0 4.84 0.0 21.37 21.38 21.37 21.35 21.35 8.01 0.44 15.91 2.52
3 BLACKSCHOLES_10M 0.0 0.0 6.49 0.0 6.6 6.6 0.0 0.0 0.0 0.38 0.88 0.0
4 BODYTRACK 0.0 0.0 7.98 0.0 19.39 19.39 0.0 0.0 0.0 13.4 4.32 3.9
5 FACESIM 0.0 0.0 27.52 8.13 40.69 8.02 4.08 4.11 0.0 33.4 21.35 0.0
6 FERRET 0.0 4.77 23.77 4.61 23.77 23.77 3.4 3.4 2.71 18.61 10.07 0.0
7 HEARTWALL 0.0 3.4 23.68 3.24 23.76 23.76 1.85 1.85 0.0 18.45 13.9 0.34
8 HOTSPOT 0.0 8.7 0.0 11.62 12.23 11.62 11.67 11.67 10.24 2.01 4.5 1.06
9 JACOBI 0.0 0.0 0.0 39.52 63.98 31.99 32.1 32.74 0.0 49.95 0.0 0.0
10 KMEANS 0.0 0.0 16.53 0.0 16.53 16.53 0.0 0.0 2.22 10.45 0.0 0.0
11 KMEANSNF 0.0 0.0 48.68 30.66 48.68 48.68 30.69 30.77 0.0 43.09 40.47 0.0
12 LAVAMD 0.0 16.06 0.0 15.92 37.48 7.81 14.35 14.35 0.0 23.17 33.85 8.1
13 LEUKOCYTE 0.0 0.0 55.55 57.53 64.31 57.54 55.71 55.72 19.14 52.1 29.69 0.94
14 LUD 0.0 0.5 88.62 9.67 88.63 88.63 7.13 90.38 0.0 0.0 0.0 7.74
15 NW 0.0 13.49 8.74 13.41 45.73 13.41 12.6 12.61 6.21 0.0 41.92 0.67
16 SHA 0.0 10.38 31.43 1.2 31.46 31.46 1.04 1.04 1.13 27.08 18.29 18.25
17 SRAD 0.0 16.78 11.65 30.49 68.37 68.37 27.89 47.36 12.42 21.96 26.75 28.82
18 STREAM 0.0 2.09 0.0 50.71 12.68 12.69 46.55 46.88 21.76 15.86 12.1 6.6
19 STREAM_threads 0.0 0.0 30.25 72.98 100.0 24.53 72.97 72.97 19.72 10.09 100.0 13.43
20 X264_ducks 0.0 0.0 6.84 0.0 6.84 6.8 0.0 0.0 0.0 0.0 0.0 0.0
21 X264_native 0.0 0.0 21.47 4.29 21.47 21.47 2.68 2.69 1.11 16.15 0.0 0.0
22 AVERAGE 0.0 4.92 19.49 19.26 37.26 26.65 17.77 22.71 5.71 17.51 18.55 4.48
