0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 12.1174 24.7771 7.97012 0.118263 10.0625 1.63877
2 BFS 0 12.9904 34.4494 13.7684 1.31253 11.2188 1.73053
3 BLACKSCHOLES_10M 0 27.8563 39.264 9.50707 0.157814 10.0094 1.07898
4 BODYTRACK 0 9.74054 38.8132 33.596 0.155316 10.1697 0.74009
5 FACESIM 0 20.5952 20.5952 16.3975 0.108178 9.67872 0.960192
6 FERRET 0 15.0709 34.7112 23.504 0.146717 9.47949 0.899387
7 HEARTWALL 0 19.9807 36.6759 25.0654 0.14937 9.70361 1.10154
8 HOTSPOT 0 11.8043 37.6235 18.9718 1.69657 10.4094 1.67479
9 JACOBI 0 62.4097 10.1197 12.2445 0.289925 9.85114 1.69594
10 KMEANS 0 17.6091 38.0247 27.1268 0.157185 10.4776 0.864378
11 KMEANSNF 0 12.8712 43.16 14.4681 3.65391 9.77154 1.37837
12 LAVAMD 0 23.2058 25.107 7.9288 0.136417 10.3537 2.25999
13 LEUKOCYTE 0 17.3651 20.2468 17.2311 0.129718 10.2088 1.403
14 LUD 0 21.4924 29.5491 9.41644 81.5095 10.4792 4.08586
15 NW 0 10.0138 26.4572 26.5169 0.134309 9.76317 0.877339
16 SHA 0 9.33588 42.7042 38.2789 3.37357 10.1542 0.763855
17 SRAD 0 25.8325 20.4675 7.69316 1.18866 11.1018 1.87674
18 STREAM 0 7.41129 10.8799 3.87686 4.85689 11.5415 3.86944
19 STREAM_threads 0 46.8831 9.9755 6.9344 1.76553 12.0356 2.38051
20 X264_ducks 0 16.4398 32.2682 20.897 0.135342 10.1408 0.977854
21 X264_native 0 18.049 33.4044 22.5513 0.141246 9.59879 0.923278
22 AVERAGE 0 19.0488 27.6943 16.5429 4.60532 9.8277 1.50822
