0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 4.49 100.0 100.0 0.0 0.0 7.14 5.31 38.16 1.02 5.51 4.69
2 BFS 0.0 82.86 0.0 100.0 0.0 11.22 20.61 20.61 43.27 0.0 5.1 5.71
3 BLACKSCHOLES_10M 0.0 5.1 81.63 100.0 31.22 81.63 11.84 11.84 50.41 1.63 3.47 2.24
4 BODYTRACK 0.0 82.65 81.63 100.0 16.73 81.63 10.61 10.61 41.63 1.63 1.43 2.65
5 FACESIM 0.0 82.45 81.63 100.0 18.37 81.63 3.27 3.27 40.41 1.84 2.65 2.86
6 FERRET 0.0 82.04 74.29 100.0 43.88 81.63 5.31 6.73 41.84 1.43 3.06 2.45
7 HEARTWALL 0.0 82.65 81.63 100.0 23.88 81.63 8.16 8.16 38.98 1.43 2.45 1.84
8 HOTSPOT 0.0 5.71 0.0 100.0 19.59 100.0 52.86 52.86 40.0 0.0 1.84 4.49
9 JACOBI 0.0 82.45 100.0 100.0 80.82 80.82 12.24 16.12 41.43 31.43 5.71 4.08
10 KMEANS 0.0 82.86 63.88 100.0 46.12 81.63 13.88 13.88 43.88 1.63 3.27 3.88
11 KMEANSNF 0.0 82.45 81.63 100.0 81.63 48.37 64.29 48.78 40.2 7.96 81.22 3.88
12 LAVAMD 0.0 4.29 100.0 100.0 0.0 82.45 4.49 4.49 42.04 14.69 2.86 2.45
13 LEUKOCYTE 0.0 81.84 81.63 100.0 81.63 81.63 3.88 3.67 42.24 3.88 5.51 4.08
14 LUD 0.0 83.27 100.0 100.0 100.0 18.57 8.37 100.0 41.63 100.0 96.94 3.06
15 NW 0.0 82.86 1.02 100.0 0.0 0.0 6.33 6.33 40.82 0.0 1.84 2.45
16 SHA 0.0 82.24 0.41 100.0 17.96 84.08 25.51 25.51 41.22 0.82 2.65 2.24
17 SRAD 0.0 82.65 16.73 100.0 0.0 0.0 4.9 26.53 45.31 2.04 2.24 4.49
18 STREAM 0.0 4.49 0.0 100.0 81.22 0.0 8.37 7.76 40.61 0.61 7.55 11.02
19 STREAM_threads 0.0 5.31 100.0 100.0 100.0 0.0 14.08 88.57 43.27 100.0 100.0 7.14
20 X264_ducks 0.0 82.04 28.57 100.0 60.41 81.63 9.18 9.18 46.33 1.43 5.51 2.24
21 X264_native 0.0 82.24 63.67 100.0 37.76 81.63 6.73 6.73 40.82 1.43 3.27 2.45
22 AVERAGE 0.0 60.33 58.97 100.0 40.06 55.25 14.38 22.71 42.12 13.09 16.38 3.83
