Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 2.08175324675 6.30084415584 3.36461038961
3 CONTROL 11.0305844156 28.7992207792 5.55805194805
4 ONLINE 2.11811688312 19.2685714286 2.38961038961
5 OFFLINE 3.2061038961 18.8811038961 3.47116883117
6 NUCLEAR 7.58883116883 39.5374675325 8.79162337662
7 HBM 6.52493506494 17.5967532468 9.05051948052
8 ADAPT-CONTROL 10.9776623377 33.6899350649 5.53597402597
9 CALOREE-NP 6.715 12.4240909091 3.93272727273
10 ONLINE-ADAPT 5.16422077922 22.6719480519 6.18168831169
11 NUCLEAR-ADAPT 4.14811688312 19.3162987013 5.12415584416
12 HBM-ADAPT 4.30961038961 8.79051948052 3.37357142857
