Number Benchmark min Avg max
1 OPTIMAL 12.5187012987 15.5223376623 27.6035714286
2 RACE 10.6472727273 57.4972727273 5.64
3 CONTROL 35.4768181818 43.4013636364 38.6363636364
4 ONLINE 8.51168831169 59.6225974026 5.5674025974
5 OFFLINE 0.0 100.0 0.0
6 NUCLEAR 32.4307792208 48.1085064935 19.2414935065
7 HBM 16.9014285714 64.1537012987 13.3181168831
8 ADAPT-CONTROL 34.4646753247 48.0655844156 35.2307792208
9 CALOREE-NP 6.95253246753 46.622987013 11.6679220779
10 ONLINE-ADAPT 26.6507142857 37.8957142857 22.3474675325
11 NUCLEAR-ADAPT 24.4561688312 33.797987013 30.7451948052
12 HBM-ADAPT 15.0131168831 20.4222077922 27.2214285714
