Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 0 32.4241 19.1155 42.6572 17.5034 1.64271
BFS 0 0 24.3195 24.3545 32.1585 17.3848 0.574227
BLACKSCHOLES_10M 0 7.63372 0 7.63075 0 0 0
BODYTRACK 0 9.85931 0 21.0592 5.47588 0 4.27248
FACESIM 0 28.7651 9.80221 9.77857 22.0995 0 0.830779
FERRET 0 25.3079 6.60092 25.3043 15.9744 1.02838 10.5876
HEARTWALL 0 25.293 5.20394 25.2897 15.5736 0 0.241651
HOTSPOT 0 0 14.6587 14.723 26.1873 15.3903 0.227068
JACOBI 0 0 34.6631 26.503 43.1597 0 1.443
KMEANS 0 17.7902 0 17.7863 6.55088 1.31882 0
KMEANSNF 0 48.1254 30.0319 48.1253 36.1731 0 0
LAVAMD 0 0 16.7239 8.9035 30.1604 0 4.92354
LEUKOCYTE 0 60.6638 63.3535 63.3343 66.2162 28.3545 4.70973
LUD 0 88.6464 11.4863 88.6501 90.3702 0 8.13036
NW 0 11.6606 18.3086 18.3202 33.744 7.57949 0
SHA 0 33.0785 3.57254 33.0744 19.474 0 18.7951
SRAD 0 14.2129 32.4423 69.1323 56.9828 12.8202 29.8029
STREAM 0 0 52.47 13.8177 57.852 20.6887 5.60253
STREAM_threads 0 31.8861 73.8907 27.545 80.2667 18.8305 10.4728
X264_ducks 0 7.34128 0 7.65981 0 0 0
X264_native 0 23.1269 6.27865 23.0476 15.2556 7.00562 0.158019
AVERAGE 0 19.6996 19.8287 26.9616 31.6515 6.72294 4.6552
