Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 20.7933 37.6978 11.9857 41.7547 18.4326 14.4846
BFS 0 11.7396 28.4447 4.30878 33.0531 9.43406 5.79104
BLACKSCHOLES_10M 0 67.7502 66.9268 9.60267 70.3555 24.5557 21.0836
BODYTRACK 0 6.69115 18.1499 15.6519 25.8563 8.01645 6.37797
FACESIM 0 19.666 19.2128 19.0761 20.3354 11.6164 9.06798
FERRET 0 13.703 5.17591 10.464 18.5693 8.32229 5.22594
HEARTWALL 0 52.0598 50.5355 52.101 56.8302 27.1885 11.8673
HOTSPOT 0 8.8677 32.444 9.08847 35.6492 8.99903 6.33373
JACOBI 0 30.4626 20.5009 20.4798 19.0673 12.4391 11.3982
KMEANS 0 14.0994 15.9313 13.0997 19.2024 7.69594 5.13186
KMEANSNF 0 64.1162 54.8064 64.2503 56.3617 27.5213 15.3482
LAVAMD 0 76.4728 67.8227 22.9382 30.5846 35.5921 33.7493
LEUKOCYTE 0 22.0543 22.0543 22.0396 39.0483 12.9423 11.7528
LUD 0 13.5754 29.3834 32.2088 29.2089 13.2865 10.6886
NW 0 11.6078 31.141 8.36749 33.4395 7.28818 7.19651
SHA 0 4.28496 17.8494 16.0394 28.3157 8.12887 6.16379
SRAD 0 30.2753 39.2682 18.9416 23.7278 16.613 13.2134
STREAM 0 0.832429 20.4038 0.661975 26.8734 12.6318 13.1707
STREAM_threads 0 32.5922 32.7741 0.901405 29.222 15.7015 15.6364
X264_ducks 0 13.1928 13.511 13.1343 19.1962 6.53149 6.09489
X264_native 0 11.7413 8.72543 11.7571 19.0855 5.73667 5.70763
AVERAGE 0 23.9354 28.7618 17.1408 30.7153 13.5761 10.7038
