Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 22.5514 0 29.4528 27.6844 15.5153 27.9342 27.9306 16.9005 10.145 15.2395 2.54367
BFS 0 3.63645 0 21.704 20.5468 21.704 21.5866 21.5866 10.8334 0 17.0398 3.54711
BLACKSCHOLES_10M 0 0 5.32588 0 5.32588 5.35245 0 0 0 0.333596 5.22079 0.244209
BODYTRACK 0 0 7.45291 0 18.9321 18.9327 0 0 0 14.2195 7.01988 4.38561
FACESIM 0 0 26.9888 7.47596 40.2586 7.47843 4.47422 4.46271 0 34.6378 37.6341 0
FERRET 0 4.90394 23.8491 4.69103 23.8491 23.8491 3.73564 3.73822 0.0849162 19.8329 21.852 10.7398
HEARTWALL 0 3.20165 23.6114 3.03363 23.6114 23.6114 2.06619 2.06773 0 19.5024 16.881 0.417306
HOTSPOT 0 7.99789 0 12.3312 11.6625 12.3461 12.2754 12.2754 13.6127 1.41902 11.1502 0.320576
JACOBI 0 0 0 37.4861 62.7747 29.7017 31.5745 32.0536 0 47.7896 0 0
KMEANS 0 0 15.936 0 15.936 15.936 0 0 1.19494 11.216 12.8515 11.3621
KMEANSNF 0 0 48.624 30.5827 48.624 48.624 30.6723 30.6816 0 44.7516 48.6064 0
LAVAMD 0 17.3526 0 17.1659 38.3983 9.17858 15.8349 15.8349 0 25.0625 36.6589 4.84534
LEUKOCYTE 0 0 54.7413 57.3717 64.1888 57.3241 55.9482 55.9493 20.2641 51.3955 29.8629 60.061
LUD 0 0.229022 88.6267 9.58004 88.6267 88.6267 7.53047 90.3633 0 0 0 8.6983
NW 0 14.4403 8.39374 14.3642 46.3099 14.372 13.7217 13.7294 5.02316 0 45.0383 1.42383
SHA 0 10.9659 31.9278 1.76148 31.8466 31.8471 1.67293 1.67105 0 28.4777 20.857 19.2758
SRAD 0 17.6028 12.6596 31.2589 68.6983 68.6983 29.2396 49.205 17.1872 23.2315 22.0189 31.4569
STREAM 0 2.31382 0 51.5498 12.9246 12.9259 48.3943 48.544 18.7556 16.0958 10.6855 7.08307
STREAM_threads 0 0 31.3631 73.4064 100 25.732 73.4334 73.4334 15.4519 10.3485 100 26.187
X264_ducks 0 0 5.28252 0 5.28252 5.28252 0 0 0 0 5.35272 0
X264_native 0 0 21.4613 4.2651 21.4613 21.4613 2.89073 2.8913 3.01292 17.2357 19.422 17.2016
AVERAGE 0 5.00932 19.345 19.4039 36.9973 26.5952 18.2374 23.1628 5.82483 17.8902 23.0186 9.99015
