Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 12.4343 24.2258 27.353 14.9362 9.94068 1.14786
BFS 0 10.5069 28.154 28.379 17.3684 11.6749 1.4579
BLACKSCHOLES_10M 0 27.6535 25.927 27.6366 14.9454 22.6284 12.6566
BODYTRACK 0 20.9075 26.8392 23.9256 15.0266 13.638 14.4247
FACESIM 0 20.9075 25.1692 25.0145 13.4443 13.464 8.16138
FERRET 0 28.9066 24.3699 28.8827 16.1815 15.5055 14.4787
HEARTWALL 0 26.5376 24.0429 26.5128 15.7509 15.0292 10.2886
HOTSPOT 0 11.5 29.7967 30.1308 17.4488 13.5045 1.21923
JACOBI 0 10.9315 21.5796 21.2382 14.6578 11.3368 2.82473
KMEANS 0 29.1584 27.1052 29.1351 14.9844 18.348 14.0056
KMEANSNF 0 33.6013 30.5862 33.6007 21.1042 12.0419 14.6122
LAVAMD 0 37.4426 24.4591 28.1247 13.6754 11.278 1.35475
LEUKOCYTE 0 9.59908 21.0565 20.5884 14.0278 10.6311 1.61797
LUD 0 85.7246 20.9075 85.7423 87.6866 15.3153 16.3713
NW 0 9.75417 26.3603 26.4362 16.1049 10.1962 1.33832
SHA 0 24.091 28.145 24.0477 15.493 13.157 14.4558
SRAD 0 27.7797 20.9075 31.256 22.5638 17.2424 14.5147
STREAM 0 20.4904 20.9397 9.21143 14.4435 10.4331 1.76194
STREAM_threads 0 63.8417 33.5432 25.0988 31.8747 10.6039 2.33791
X264_ducks 0 29.8281 20.9075 29.813 18.464 22.4581 16.6463
X264_native 0 28.5483 23.6108 28.5246 16.9419 17.668 11.1264
AVERAGE 0 25.9157 24.0288 27.7569 19.4147 13.4589 8.0365
