Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 7.52786 17.8438 8.62675 0.143494 10.976 1.92966
BFS 0 7.62456 36.946 10.8658 0.137092 10.7747 1.65329
BLACKSCHOLES_10M 0 22.782 43.0893 7.51108 0.139548 10.7531 1.62965
BODYTRACK 0 11.1923 42.3644 35.9154 0.140622 10.3081 0.583124
FACESIM 0 26.7098 20.1177 20.0645 0.0764804 10.3663 0.900323
FERRET 0 18.022 38.2488 24.3543 0.126038 10.3285 0.707925
HEARTWALL 0 26.2711 40.1404 26.6537 0.129553 11.0763 0.795024
HOTSPOT 0 10.5353 40.3431 11.8969 0.146574 10.384 1.68449
JACOBI 0 55.2323 9.76221 9.58291 0.198069 10.147 1.88122
KMEANS 0 16.413 41.4389 28.1402 0.138202 9.87332 0.764254
KMEANSNF 0 33.4368 31.7372 34.2143 7.65319 10.5547 1.24204
LAVAMD 0 47.789 13.6695 5.6603 11.0341 11.3769 2.41095
LEUKOCYTE 0 12.0556 12.0556 11.8626 0.08651 10.6721 1.31653
LUD 0 18.0023 36.6849 10.009 0.248835 10.9773 4.25939
NW 0 10.1123 28.062 8.71379 0.102954 9.91075 0.806364
SHA 0 10.3981 45.6617 40.2826 0.154082 10.0157 0.623036
SRAD 0 13.5552 37.1335 5.3053 0.0911496 11.9632 2.08064
STREAM 0 4.9053 9.98381 3.40646 7.39874 15.2063 4.54285
STREAM_threads 0 37.5667 7.20903 4.44309 1.50765 12.9532 2.80345
X264_ducks 0 21.6107 35.8561 21.6252 0.116817 9.41696 0.772819
X264_native 0 22.7874 36.3501 22.8872 0.122454 9.52329 0.689239
AVERAGE 0 19.7513 28.3954 16.001 1.35873 10.3435 1.54892
