Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 1.83673 5.10204 100 0 0 0.816327 1.83673 40 8.57143 7.95918 4.89796
BFS 0 2.04082 19.1837 100 0 19.1837 2.2449 2.2449 40.6122 0 6.73469 5.5102
BLACKSCHOLES_10M 0 2.65306 81.6327 100 0 0 3.67347 4.08163 39.7959 1.63265 2.04082 1.42857
BODYTRACK 0 82.2449 0 100 11.6327 96.1224 4.08163 4.28571 38.9796 0 2.85714 1.63265
FACESIM 0 82.0408 81.6327 100 0 76.5306 3.06122 3.46939 37.3469 1.63265 3.46939 2.2449
FERRET 0 82.2449 37.9592 100 9.79592 81.6327 3.67347 3.87755 38.3673 1.63265 2.44898 1.83673
HEARTWALL 0 82.2449 81.6327 100 9.79592 81.6327 3.67347 3.87755 39.3878 1.63265 2.2449 1.42857
HOTSPOT 0 3.46939 4.4898 100 0 99.1837 4.08163 4.08163 40.4082 0 6.32653 5.91837
JACOBI 0 15.102 100 100 16.5306 16.5306 21.8367 35.9184 38.7755 47.1429 7.34694 4.08163
KMEANS 0 82.6531 79.1837 100 10.4082 81.6327 3.67347 3.67347 37.7551 1.42857 2.65306 1.22449
KMEANSNF 0 37.9592 16.3265 100 14.2857 49.7959 12.6531 13.2653 39.5918 9.18367 3.87755 2.44898
LAVAMD 0 1.63265 81.6327 100 0 0 25.3061 1.63265 40.2041 2.04082 5.30612 4.28571
LEUKOCYTE 0 70.4082 76.9388 100 76.9388 76.9388 8.97959 4.69388 41.2245 21.8367 6.53061 4.28571
LUD 0 82.8571 100 100 0 0 4.28571 100 40 3.87755 0.408163 3.87755
NW 0 82.2449 0 100 0 81.6327 1.83673 1.63265 40.4082 0 3.67347 1.83673
SHA 0 82.6531 0 100 13.6735 100 9.59184 9.59184 37.1429 0 2.65306 2.85714
SRAD 0 66.9388 100 100 0 0 8.16327 8.97959 37.9592 31.2245 4.89796 4.4898
STREAM 0 1.63265 0 100 16.3265 0 23.6735 34.898 37.9592 0.204082 12.0408 12.449
STREAM_threads 0 1.83673 100 100 100 0 36.3265 39.1837 38.5714 100 100 9.79592
X264_ducks 0 82.449 61.6327 100 14.2857 81.6327 4.89796 4.89796 40.6122 1.42857 2.65306 1.42857
X264_native 0 82.0408 80.6122 100 10.8163 81.6327 2.44898 2.44898 39.5918 1.42857 3.26531 1.02041
AVERAGE 0 49.0087 52.76 100 14.4995 48.7658 8.99903 13.7415 39.2711 11.1856 9.01846 3.76093
