Number	Benchmark	min	Avg	max
1	RACE	11.35745714	55.86293333	7.363857143
2	CONTROL	15.28995578	34.78620954	10.25911761
3	ONLINE	5.158255769	20.90019944	3.694995803
4	OFFLINE	1.855326633	14.27681901	4.47823532
5	NUCLEAR	11.16415324	40.22444854	8.428434984
6	HBM	9.159768354	16.11942531	11.7501885
7	CALOREE-NP	2.004213129	11.6464217	2.199269728
8	ADAPT-CONTROL	6.406660204	12.62838068	4.251195986
9	ONLINE-ADAPT	3.592083663	13.01808366	2.03939648
10	NUCLEAR-ADAPT	0.742237034	9.791042224	1.054133966
11	HBM-ADAPT	2.815828103	4.355187961	3.135051563
