Sample size	Est rate	Est power	Online rate	Online power
0	0.704895779	0.888642783	0	0
1	0.745968421	0.892260689	0	0
2	0.738953799	0.893354406	0	0
3	0.768703055	0.896606636	0	0
4	0.783296137	0.900737243	0	0
5	0.8121994	0.897952543	0.297758148	0.494329797
6	0.827101717	0.901058472	0.271603503	0.624060772
7	0.831481124	0.903019557	0.064242253	0.233520163
8	0.838646577	0.907761349	0.590518314	0.713747271
9	0.861904907	0.90970381	0.604709537	0.73296359
10	0.869067441	0.920450286	0.491113699	0.574094747
11	0.86333932	0.909806904	0.621457412	0.736804117
12	0.864297277	0.91579925	0.775869937	0.818222634
13	0.88549588	0.914064136	0.78926085	0.834740848
14	0.88466236	0.917696685	0.787344671	0.85162341
15	0.889731557	0.918521373	0.735825362	0.83192572
16	0.8920286	0.925167796	0.81507251	0.85974013
17	0.892962222	0.922569335	0.734066517	0.780411375
18	0.901647899	0.937143168	0.853078613	0.917350753
19	0.901075485	0.926278151	0.818087195	0.878628736
20	0.895767056	0.927535704	0.809460154	0.900781843
21	0.908484456	0.93420242	0.853416135	0.91550379
22	0.907786384	0.932835857	0.838735613	0.916278983
23	0.907974105	0.934781067	0.666707608	0.801835085
24	0.912108713	0.93144679	0.825445653	0.886639018
25	0.921030668	0.933916133	0.856840642	0.89485704
26	0.923535077	0.934956275	0.84517547	0.918937641
27	0.923369204	0.933961411	0.853874938	0.910741898
28	0.927360713	0.942264354	0.849477448	0.918096812
29	0.927522216	0.938525184	0.858520629	0.919500466
30	0.927164818	0.942118714	0.865541047	0.926566656
31	0.927737968	0.944211397	0.856728057	0.910131611
32	0.934103911	0.951150639	0.862445317	0.923063858
33	0.93838341	0.95219237	0.867758195	0.92703166
34	0.935827794	0.94690254	0.870635135	0.92451247
35	0.938126004	0.9474621	0.868262386	0.928362512
36	0.935593561	0.940412103	0.84429298	0.915110246
37	0.944511898	0.951868082	0.872228747	0.92922073
38	0.939894569	0.952897152	0.858234058	0.911916677
39	0.946150337	0.950994214	0.8657735	0.928322861
40	0.946221408	0.951070368	0.865987352	0.930701209
41	0.950769221	0.956382147	0.874722709	0.930472206
42	0.944433308	0.94895807	0.866864484	0.928890808
43	0.951058242	0.954452498	0.870035105	0.922168486
44	0.94794707	0.952731271	0.869775985	0.928019983
45	0.951334957	0.954398167	0.867602599	0.922677744
