Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 0 15.7181 0 23.9109 18.7265 0.434013
BFS 0 0 3.38833 3.67488 0 8.31756 1.58564
BLACKSCHOLES_10M 0 29.4558 6.11468 29.453 44.6361 3.95166 0
BODYTRACK 0 22.4324 0.591428 32.0559 41.1391 7.9127 3.3899
FACESIM 0 39.9393 23.738 23.968 55.1023 16.2701 1.98886
FERRET 0 25.8598 6.93157 25.7638 41.6585 3.07839 1.15261
HEARTWALL 0 28.3205 8.8164 28.3144 45.3892 3.76581 3.24225
HOTSPOT 0 0 0 0 6.00397 7.20331 1.44083
JACOBI 0 33.5296 54.757 49.3281 67.8009 12.5623 8.94546
KMEANS 0 27.4081 0.267141 27.409 40.28 7.41319 0
KMEANSNF 0 58.5414 43.6888 58.3722 66.6432 3.40811 5.86932
LAVAMD 0 0 19.4188 11.8758 36.0607 0.8794 0
LEUKOCYTE 0 60.6152 53.2743 53.3876 53.1056 31.9375 17.5035
LUD 0 89.6296 17.601 89.6129 72.3618 6.33532 3.09754
NW 0 19.1971 4.7507 5.10731 30.3557 17.7556 5.64954
SHA 0 28.1975 0 28.1852 38.9064 4.2661 0.953275
SRAD 0 0 20.0647 63.604 81.7805 7.57437 0.922864
STREAM 0 0 39.4213 13.7292 0.429048 18.1803 9.00004
STREAM_threads 0 14.9146 66.7573 8.02572 68.3854 15.654 13.6499
X264_ducks 0 28.1943 17.7935 28.1968 51.6361 8.37478 1.0178
X264_native 0 26.4396 10.1831 26.4391 44.2821 7.29621 0.135202
AVERAGE 1 24.2125 18.7853 27.5683 41.3576 9.58469 3.63539
