Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 65.4969 14.1308 17.8041 23.9528 8.86233 9.758 6.10632 6.95829 8.14639 7.75719 6.66561
BFS 0 54.0234 2.68579 0 7.57881 2.68579 0 4.0649 6.00669 1.82701 3.27868 2.99168
BLACKSCHOLES_10M 0 77.5799 57.428 53.9983 0 0 61.8262 60.2589 24.0239 57.8287 11.2852 12.9169
BODYTRACK 0 51.1319 13.5896 0 35.7398 0 7.36224 4.84348 6.27493 13.0721 3.49953 3.53526
FACESIM 0 64.5018 4.24681 4.5441 28.7726 10.0487 6.45836 14.572 8.53476 0 7.36283 6.47253
FERRET 0 47.1249 13.5486 0 42.973 3.19713 11.6836 8.35746 6.7415 0 2.57806 3.65764
HEARTWALL 0 60.0796 29.1829 18.483 56.886 24.8239 32.4416 29.2981 13.5885 23.4442 4.10603 5.16449
HOTSPOT 0 48.7609 1.9054 0 7.39468 2.79407 3.73016 5.35183 3.76193 2.56787 2.9351 2.6485
JACOBI 0 73.4755 14.2795 15.6169 0.0784123 0 21.6174 23.2852 9.61514 48.5358 7.67502 10.4933
KMEANS 0 50.9828 10.7602 0 46.6561 0 11.1146 6.96677 7.46384 0 3.06725 3.76211
KMEANSNF 0 70.2421 24.349 40.1205 67.8728 20.8035 30.1931 15.2393 12.0717 32.6933 10.975 8.93452
LAVAMD 0 88.5905 58.9994 69.9537 18.5799 18.4052 11.8144 53.1824 34.2055 58.918 27.0754 27.9184
LEUKOCYTE 0 66.6827 0.686527 24.6542 0.685799 0.596636 20.0836 24.6077 10.5265 3.33527 6.73396 8.5036
LUD 0 92.1364 7.82965 0 19.5512 19.5333 79.1509 8.22923 7.6045 16.602 2.74508 4.69912
NW 0 64.1516 1.20583 0 17.4905 0 0.207069 7.4212 6.97319 2.24673 2.99669 3.54162
SHA 0 48.0633 8.63655 0 32.3305 0 3.7622 4.19914 5.79006 7.24285 2.7456 2.82466
SRAD 0 69.7227 32.316 5.36668 19.9741 19.9188 15.7637 21.4633 10.9796 24.2892 7.41808 12.6888
STREAM 0 62.5478 0 10.7751 0 5.26792 35.2954 15.8516 8.01728 0.166175 9.67376 9.37986
STREAM_threads 0 80.4466 15.1254 28.4882 97.24 0 23.9108 23.7191 11.1056 13.0205 98.4996 12.463
X264_ducks 0 45.4107 10.5477 0 42.6904 5.40931 12.0031 9.46883 5.26957 0 2.48521 4.29296
X264_native 0 46.6106 9.12716 0 43.8188 3.80621 11.2449 7.98435 6.18711 0 2.85543 3.74047
AVERAGE 1 1.63227 1.15742 1.138 1.2906 1.0696 1.19496 1.1688 1.10081 1.14949 1.10845 1.0749
