Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 0 15.7244 0 23.8717 21.4384 0
BFS 0 0 3.38308 3.72527 0.000170844 9.66147 0
BLACKSCHOLES_10M 0 29.4603 6.11412 29.4573 44.6333 4.00228 0
BODYTRACK 0 22.4516 0.590919 31.8007 40.9116 7.89778 0
FACESIM 0 39.9127 23.6952 23.935 55.0775 18.3979 0.417844
FERRET 0 25.8402 7.02083 25.8405 41.7157 1.39108 0
HEARTWALL 0 28.2977 8.81455 28.2916 45.4598 1.67398 0.0477038
HOTSPOT 0 0 0 0 6.18302 6.72681 0
JACOBI 0 33.5246 54.7609 49.485 67.9047 8.18788 3.63336
KMEANS 0 27.4186 0.211213 27.4776 40.3114 5.96485 0
KMEANSNF 0 58.5291 43.8483 58.5007 66.7378 4.52553 1.2089
LAVAMD 0 0 19.4188 11.9276 36.0607 4.12741 0
LEUKOCYTE 0 60.5794 53.2443 53.3466 53.081 31.9742 2.5139
LUD 0 89.6243 17.5553 89.6304 72.4044 7.16622 0.5205
NW 0 19.214 4.75672 5.12678 30.5202 14.563 0
SHA 0 28.174 0 28.162 38.9061 4.21595 0
SRAD 0 0 20.0685 63.6037 81.7767 8.04928 1.55254
STREAM 0 0 39.4787 13.806 0.52309 19.7522 2.82883
STREAM_threads 0 14.9249 66.7551 8.02526 68.3826 16.1342 5.35363
X264_ducks 0 28.1943 17.7826 28.1966 51.6297 9.33303 0.104309
X264_native 0 26.4333 10.1817 26.4327 44.2815 5.62635 0
AVERAGE 1 24.2081 18.7911 27.5805 41.3806 9.58226 0.826433
