Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL  CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 0 1 0.151724 0.00344828 0.00344828 0.2 0.175862 0.434483 0.00344828 0.0793103 0.0827586
BFS 0 0 0.0206897 0.982759 0.00344828 0.996552 0.158621 0.172414 0.455172 0.00344828 0.0827586 0.0862069
BLACKSCHOLES_10M 0 0 0.00344828 1 0.00344828 0.0103448 0.996552 0.127586 0.458621 0 0.0448276 0.0206897
BODYTRACK 0 0 0 1 0 0.0137931 1 0.12069 0.465517 0.189655 0.0758621 0.0586207
FACESIM 0 0 0 0.148276 0 0 0.241379 0.0827586 0.427586 0.0137931 0.0793103 0.0551724
FERRET 0 0 0.00344828 0.837931 0.00344828 0.00344828 1 0.137931 0.462069 0.00344828 0.0689655 0.0448276
HEARTWALL 0 0 0 0.962069 0 0.00689655 1 0.134483 0.468966 0 0.0517241 0.0344828
HOTSPOT 0 0 0 1 0 1 0.0793103 0.158621 0.431034 0 0.0413793 0.0517241
JACOBI 0 0 1 0.193103 0.00344828 0.00344828 0.32069 0.172414 0.462069 0.334483 0.0931034 0.0724138
KMEANS 0 0 0 0.996552 0 0.0103448 1 0.103448 0.441379 0 0.0793103 0.062069
KMEANSNF 0 0 0 0.141379 0 0 1 0.062069 0.441379 0.268966 0.0689655 0.062069
LAVAMD 0 0 1 0.175862 0 0.0275862 0.137931 0.131034 0.441379 0.00344828 0.0448276 0.0310345
LEUKOCYTE 0 0 0.0206897 0.131034 0 0 0.275862 0.0896552 0.451724 0.313793 0.062069 0.0724138
LUD 0 0 1 0.193103 1 1 1 0.0655172 0.465517 1 0.0551724 0.0482759
NW 0 0 0.0137931 0.158621 0 0.0517241 0.186207 0.148276 0.444828 0 0.062069 0.0241379
SHA 0 0 0 1 0 0.686207 0.989655 0.141379 0.462069 0 0.062069 0.0448276
SRAD 0 0 0.0103448 0.144828 0.00344828 0 1 0.0586207 0.424138 0 0.0482759 0.0482759
STREAM 0 0 0.0137931 0.148276 0.00344828 0.00344828 0.310345 0.258621 0.413793 0.948276 0.0655172 0.0551724
STREAM_threads 0 0 1 0.162069 1 0.00344828 0.324138 0.203448 0.431034 1 1 0.0931034
X264_ducks 0 0 0 0.368966 0 0 1 0.131034 0.472414 0.00689655 0.0482759 0.0448276
X264_native 0 0 0.00689655 0.710345 0.00344828 0.00689655 1 0.134483 0.444828 0 0.0758621 0.062069
AVERAGE 0 0 0.242529 0.50509 0.0965517 0.182266 0.629557 0.133826 0.447619 0.194746 0.109031 0.0550082
