Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 11.719 0.0855156 8.73783 2.72704 9.49599 7.49177
BFS 0 9.93858 1.68241 9.27597 0.081837 9.27792 7.0227
BLACKSCHOLES_10M 0 9.06407 0.0895222 8.91939 36.0109 10.6321 7.4931
BODYTRACK 0 7.18527 0.092443 7.79721 26.5283 8.73097 6.57694
FACESIM 0 7.34566 0.0871362 8.13178 33.7532 8.45287 6.73821
FERRET 0 9.90515 0.0857398 9.92118 34.586 8.75926 6.78524
HEARTWALL 0 8.83613 0.0852318 8.52127 32.2822 9.78842 7.35095
HOTSPOT 0 10.6102 4.13505 10.7761 2.52092 8.23368 6.43045
JACOBI 0 10.1558 0.0814858 7.16776 19.2844 9.37564 6.87633
KMEANS 0 10.1103 0.0933054 10.1553 35.2783 10.4859 7.31887
KMEANSNF 0 14.4662 5.29919 14.9039 39.8312 10.1413 7.62893
LAVAMD 0 19.5087 0.0858788 9.14893 20.5241 8.8567 6.92705
LEUKOCYTE 0 8.42589 0.0807046 7.00602 1.2782 9.21633 6.83849
LUD 0 73.9162 0.080483 74.2809 81.6067 9.97035 8.32822
NW 0 8.79599 0.0909028 8.47027 14.3551 9.4808 7.21412
SHA 0 8.46578 1.66883 7.83093 27.079 9.26889 7.12154
SRAD 0 9.5026 0.080483 12.3353 79.8161 9.34894 7.27641
STREAM 0 20.464 0.080531 7.84523 0.0822782 9.13935 7.00616
STREAM_threads 0 50.5473 9.5811 8.14108 3.83293 9.10566 7.27697
X264_ducks 0 10.6865 0.080483 10.8076 32.1149 10.0758 7.19348
X264_native 0 9.63065 0.084565 9.60227 34.977 10.2994 7.17424
AVERAGE 0 14.9673 1.07868 11.808 25.3887 9.00619 6.82137
