Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 11.719 0.0855156 8.73783 2.72704 8.58699 0.830202
BFS 0 9.93858 1.68241 9.27597 0.081837 9.49502 0.86018
BLACKSCHOLES_10M 0 9.06407 0.0895222 8.91939 36.0109 10.3591 0.911584
BODYTRACK 0 7.18527 0.092443 7.79721 26.5283 9.868 0.858602
FACESIM 0 7.34566 0.0871362 8.13178 33.7532 8.99759 0.856085
FERRET 0 9.90515 0.0857398 9.92118 34.586 9.26242 0.9319
HEARTWALL 0 8.83613 0.0852318 8.52127 32.2822 8.98071 0.895941
HOTSPOT 0 10.6102 4.13505 10.7761 2.52092 9.46216 0.81932
JACOBI 0 10.1558 0.0814858 7.16776 19.2844 9.0082 0.822706
KMEANS 0 10.1103 0.0933054 10.1553 35.2783 9.68543 0.935582
KMEANSNF 0 14.4662 5.29919 14.9039 39.8312 9.46428 1.00216
LAVAMD 0 19.5087 0.0858788 9.14893 20.5241 8.93769 0.833805
LEUKOCYTE 0 8.42589 0.0807046 7.00602 1.2782 8.80004 0.9271
LUD 0 73.9162 0.080483 74.2809 81.6067 9.4056 1.93349
NW 0 8.79599 0.0909028 8.47027 14.3551 9.01532 0.813704
SHA 0 8.46578 1.66883 7.83093 27.079 9.70679 0.860549
SRAD 0 9.5026 0.080483 12.3353 79.8161 9.45196 0.971005
STREAM 0 20.464 0.080531 7.84523 0.0822782 9.80798 1.0194
STREAM_threads 0 50.5473 9.5811 8.14108 3.83293 8.92856 1.1422
X264_ducks 0 10.6865 0.080483 10.8076 32.1149 10.3186 0.943957
X264_native 0 9.63065 0.084565 9.60227 34.977 9.64973 0.926473
AVERAGE 0 14.9673 1.07868 11.808 25.3887 8.96328 0.913452
