Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 11.3574571429 55.8629333333 7.36385714286
3 CONTROL 15.2899557755 34.7862095374 10.2591176054
4 ONLINE 5.15825576871 20.9001994354 3.69499580272
5 OFFLINE 1.85532663265 14.2768190136 4.47823531973
6 NUCLEAR 11.1641532395 40.2244485395 8.42843498435
7 HBM 9.15976835415 16.1194253065 11.750188503
8 ADAPT-CONTROL 6.40666020449 12.6283806802 4.25119598646
9 CALOREE-NP 2.00421312925 11.6464217007 2.19926972789
10 ONLINE-ADAPT 3.59208366259 13.0180836626 2.03939648027
11 NUCLEAR-ADAPT 0.742237034014 9.79104222449 1.05413396599
12 HBM-ADAPT 2.8158281034 4.35518796054 3.13505156327
