Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 0.0 0.0 0.0
3 CONTROL 19.6364084354 58.3884608163 23.5819820408
4 ONLINE 3.96903577551 28.2219096327 6.01453993878
5 OFFLINE 21.8789582993 44.1285440136 17.0701417007
6 NUCLEAR 6.460239 11.3535067619 11.7171013333
7 HBM 6.15294821769 16.9575411701 3.83063502041
8 ADAPT-CONTROL 2.38095387755 14.2364514966 4.20361421769
9 CALOREE-NP 1.11893537415 45.0598163265 1.8203122449
10 ONLINE-ADAPT 4.77128606122 17.6120102517 4.76893684354
11 NUCLEAR-ADAPT 0.684963537415 10.9805297279 0.53014170068
12 HBM-ADAPT 0.68730952381 5.49847571429 0.593478571429
