 
Frame	LEO_PERF	LEO_POWER	POET_PERF	POET_POWER	LEOPOET_PERF	LEOPOET_POWER	   
0	0.190387	1.69415	0.190311	2.81764	0.190788	2.81866	   
20	0.95331	2.96156	0.876975	4.20286	0.801977	2.59667	   
40	0.972615	3.24322	1.02887	4.32437	0.941915	2.90391	   
60	1.01654	2.89409	0.921947	4.21208	0.990977	2.98108	   
80	0.999833	3.24106	0.945983	2.00419	1.03513	2.93518	   
100	1.0488	2.82482	0.945404	2.06653	0.994033	3.16475	   
120	1.00969	3.14756	0.936161	4.15709	1.04417	3.44168	   
140	1.03421	2.84685	0.923836	4.16509	1.05495	3.43135	   
160	1.02019	3.2331	0.958966	4.18475	0.994765	2.41588	   
180	1.00075	3.05182	0.960918	4.2515	0.987503	2.90404	   
200	0.869619	3.15101	0.889995	4.17563	1.04308	3.25946	   
220	0.990439	3.19829	0.993662	4.22651	1.00614	2.48544	   
240	0.926627	3.18109	0.954058	4.18134	1.05011	2.35156	   
260	1.03259	2.02481	1.14657	1.93031	0.988253	1.78157	   
280	1.01318	2.27698	1.05091	2.02158	0.99846	1.69724	   
300	1.03592	2.07888	1.03199	3.92777	1.02403	1.526	   
320	0.957459	1.69564	0.615561	0.560862	1.02979	1.61824	   
340	1.04709	2.32864	1.08625	1.71065	1.00589	1.76399	   
360	1.07158	2.28813	0.616315	0.55389	1.01845	1.65298	   
380	0.974014	2.05624	0.820171	0.52008	1.01139	1.76236	   
400	1.0037	2.09276	1.20469	4.16708	0.978622	1.56745	   
420	1.00197	2.03468	1.05512	3.93983	1.06139	1.85962	   
440	0.971239	2.02897	1.05131	3.93814	0.989964	1.34183	   
460	0.959159	1.65888	0.614206	0.527844	0.998071	1.81197	   
480	0.950707	2.10748	0.776879	0.516126	1.01017	1.75703	 
