0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 84.29 46.33 100.0 0.2 81.84 82.86 83.06 47.14 5.31 3.88 5.92
2 BFS 0.0 9.18 5.71 100.0 0.41 82.86 85.31 85.31 43.47 0.2 3.06 6.33
3 BLACKSCHOLES_10M 0.0 83.67 82.45 100.0 82.45 82.45 84.49 84.49 86.73 82.04 82.24 82.24
4 BODYTRACK 0.0 84.29 81.63 100.0 81.63 81.63 84.9 84.9 57.76 81.63 82.45 82.45
5 FACESIM 0.0 84.29 81.63 100.0 81.63 81.63 84.9 85.1 57.55 83.47 82.65 82.24
6 FERRET 0.0 84.49 84.29 100.0 84.29 84.29 85.92 85.71 66.12 81.63 82.86 82.65
7 HEARTWALL 0.0 83.27 81.63 100.0 81.63 81.63 86.12 86.12 62.86 81.63 82.45 82.04
8 HOTSPOT 0.0 11.43 20.82 100.0 0.41 87.96 88.98 88.98 58.37 0.0 2.86 4.08
9 JACOBI 0.0 84.29 10.2 100.0 81.63 81.63 84.9 86.53 50.2 0.82 7.14 8.57
10 KMEANS 0.0 83.47 84.49 100.0 84.49 84.49 83.47 83.47 74.9 81.63 82.65 82.04
11 KMEANSNF 0.0 82.65 99.8 100.0 99.8 99.8 90.2 90.2 50.61 89.8 100.0 82.45
12 LAVAMD 0.0 82.86 100.0 100.0 81.63 82.24 83.88 83.67 48.37 89.39 82.24 9.39
13 LEUKOCYTE 0.0 11.63 0.61 100.0 82.86 81.63 84.9 84.69 47.76 1.22 83.67 82.65
14 LUD 0.0 83.47 100.0 100.0 100.0 100.0 86.33 100.0 67.96 100.0 100.0 82.45
15 NW 0.0 83.88 0.41 100.0 81.63 81.84 84.29 84.29 45.31 0.0 82.86 7.35
16 SHA 0.0 85.31 81.63 100.0 81.63 81.63 85.1 85.1 55.1 81.63 83.06 82.24
17 SRAD 0.0 83.06 82.45 100.0 95.1 95.1 83.47 83.67 73.88 82.04 95.51 83.06
18 STREAM 0.0 11.84 100.0 100.0 0.41 0.41 82.86 83.47 45.31 100.0 4.29 6.53
19 STREAM_threads 0.0 9.8 100.0 100.0 100.0 81.63 98.78 98.78 46.33 100.0 100.0 7.35
20 X264_ducks 0.0 83.88 87.96 100.0 87.96 87.96 84.49 84.69 85.1 81.63 88.37 82.24
21 X264_native 0.0 83.88 84.08 100.0 84.08 84.08 86.12 85.92 68.37 81.63 83.06 83.06
22 AVERAGE 0.0 66.42 67.43 100.0 70.18 81.27 85.82 86.58 59.01 62.18 67.4 53.68
